taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,taxonRank,taxonomicStatus,domain,cnamedomain,superkingdom,cnamesuperkingdom,kingdom,cnameKingdom,kingdomKey,subkingdom,cnamesubkingdom,superphylum,cnamesuperphylum,phylum,cnamePhylum,phylumKey,subphylum,cnmaesubphylum,superclass,cnamesuperclass,class,cnameClass,classKey,subclass,cnamesubclass,superorder,cnamesuperorder,order,cnameOrder,orderKey,suborder,cnamesuborder,superfamily,cnamesuperfamily,family,cnameFamily,familyKey,subfamily,cnamesubfamily,supertribe,cnamesupertribe,tribe,cnametribe,subtribe,cnamesubtribe,genus,cnameGenus,genusKey,subgenus,cnamesubgenus,species,cnameSpecies,speciesKey,subspecies,cnmaesubspecies,variety,cnamevariety,iucnRedListCategory,statuskepunahan
3253774,Holothyridae,3253774,Holothyridae,FAMILY,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Arachnida,Hewan berkaki-delapan,367,,,,,Holothyrida,Tungau,373.0,,,,,Holothyridae,Tungau,3253774.0,,,,,,,,,,,,,,,,,,,,,NE,
541,Ricinulei,541,Ricinulei,ORDER,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Arachnida,Hewan berkaki-delapan,367,,,,,Ricinulei,Tungau-laba ,541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2181962,"Petrogalochirus Fain, 1970",2181962,"Petrogalochirus Fain, 1970",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Arachnida,Hewan berkaki-delapan,367,,,,,Sarcoptiformes,Tungau,542.0,,,,,Atopomelidae,Tungau,2253.0,,,,,,,,,Petrogalochirus,Tungau,2181962.0,,,,,,,,,,,
4575066,"Atopomelus Trouessart, 1918",4575066,"Atopomelus Trouessart, 1918",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Arachnida,Hewan berkaki-delapan,367,,,,,Sarcoptiformes,Tungau,542.0,,,,,Atopomelidae,Tungau,2253.0,,,,,,,,,Atopomelus,Tungau,4575066.0,,,,,,,,,,,
4652469,"Austrochirus Womersley, 1943",4652469,"Austrochirus Womersley, 1943",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Arachnida,Hewan berkaki-delapan,367,,,,,Sarcoptiformes,Tungau,542.0,,,,,Atopomelidae,Tungau,2253.0,,,,,,,,,Austrochirus,Tungau,4652469.0,,,,,,,,,,,
4652568,"Cytostethum Domrow, 1956",4652568,"Cytostethum Domrow, 1956",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Arachnida,Hewan berkaki-delapan,367,,,,,Sarcoptiformes,Tungau,542.0,,,,,Atopomelidae,Tungau,2253.0,,,,,,,,,Cytostethum,Tungau,4652568.0,,,,,,,,,,,
2253,Atopomelidae,2253,Atopomelidae,FAMILY,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Arachnida,Hewan berkaki-delapan,367,,,,,Sarcoptiformes,Tungau,542.0,,,,,Atopomelidae,Tungau,2253.0,,,,,,,,,,,,,,,,,,,,,,
4653827,"Stigmalychus Théron, Meyer & Ryke, 1970",4653827,"Stigmalychus Théron, Meyer & Ryke, 1970",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Arachnida,Hewan berkaki-delapan,367,,,,,Sarcoptiformes,Tungau,542.0,,,,,Alicorhagiidae,Tungau,2825.0,,,,,,,,,Stigmalychus,Tungau,4653827.0,,,,,,,,,,,
4653160,"Congovidia Fain & Elsen, 1971",4653160,"Congovidia Fain & Elsen, 1971",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Arachnida,Hewan berkaki-delapan,367,,,,,Sarcoptiformes,Tungau,542.0,,,,,Winterschmidtiidae,Tungau,2835.0,,,,,,,,,Congovidia,Tungau,4653160.0,,,,,,,,,,,
4653487,"Calvolia Oudemans, 1911",4653487,"Calvolia Oudemans, 1911",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Arachnida,Hewan berkaki-delapan,367,,,,,Sarcoptiformes,Tungau,542.0,,,,,Winterschmidtiidae,Tungau,2835.0,,,,,,,,,Calvolia,Tungau,4653487.0,,,,,,,,,,,
11750744,"Crabrovidia dasyproctus Fain, 1973",11750744,"Crabrovidia dasyproctus Fain, 1973",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Arachnida,Hewan berkaki-delapan,367,,,,,Sarcoptiformes,Tungau,542.0,,,,,Winterschmidtiidae,Tungau,2835.0,,,,,,,,,Crabrovidia,Tungau,4666424.0,,,Crabrovidia dasyproctus,Tungau,11750744,,,,,NE,
4666424,"Crabrovidia Zachvatkin, 1941",4666424,"Crabrovidia Zachvatkin, 1941",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Arachnida,Hewan berkaki-delapan,367,,,,,Sarcoptiformes,Tungau,542.0,,,,,Winterschmidtiidae,Tungau,2835.0,,,,,,,,,Crabrovidia,Tungau,4666424.0,,,,,,,,,,,
2835,Winterschmidtiidae,2835,Winterschmidtiidae,FAMILY,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Arachnida,Hewan berkaki-delapan,367,,,,,Sarcoptiformes,Tungau,542.0,,,,,Winterschmidtiidae,Tungau,2835.0,,,,,,,,,,,,,,,,,,,,,,
2182001,"Suidasia nesbitti Hughes, 1948",2182001,"Suidasia nesbitti Hughes, 1948",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Arachnida,Hewan berkaki-delapan,367,,,,,Sarcoptiformes,Tungau,542.0,,,,,Suidasiidae,Tungau,2836.0,,,,,,,,,Suidasia,Tungau,2181999.0,,,Suidasia nesbitti,Tungau butir-bersisik,2182001,,,,,NE,
4653812,"Suidasia pontifica Oudemans, 1905",4653812,"Suidasia pontifica Oudemans, 1905",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Arachnida,Hewan berkaki-delapan,367,,,,,Sarcoptiformes,Tungau,542.0,,,,,Suidasiidae,Tungau,2836.0,,,,,,,,,Suidasia,Tungau,2181999.0,,,Suidasia pontifica,Tungau butir-bersisik, ,,,,,NE,
9355475,"Notoedres chiropteralis (Trouessart, 1896)",9355475,"Notoedres chiropteralis (Trouessart, 1896)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Arachnida,Hewan berkaki-delapan,367,,,,,Sarcoptiformes,Tungau,542.0,,,,,Sarcoptidae,Tungau,2837.0,,,,,,,,,Notoedres,Tungau,2181901.0,,,Notoedres chiropteralis,Tungau,9355475,,,,,NE,
2181901,"Notoedres Railliet, 1893",2181901,"Notoedres Railliet, 1893",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Arachnida,Hewan berkaki-delapan,367,,,,,Sarcoptiformes,Tungau,542.0,,,,,Sarcoptidae,Tungau,2837.0,,,,,,,,,Notoedres,Tungau,2181901.0,,,Notoedres dewitti,Tungau,,,,,,,
