taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,taxonRank,taxonomicStatus,domain,cnamedomain,superkingdom,cnamesuperkingdom,kingdom,cnameKindom,kingdomKey,subkingdom,cnamesubkingdom,superphylum,cnamesuperphylum,phylum,cnamePhylum,phylumKey,subphylum,cnmaesubphylum,superclass,cnamesuperclass,class,cnameClass,classKey,subclass,cnamesubclass,superorder,cnamesuperorder,order,cnameOrder,orderKey,suborder,cnamesuborder,superfamily,cnamesuperfamily,family,cnameFamily,familyKey,subfamily,cnamesubfamily,supertribe,cnamesupertribe,tribe,cnametribe,subtribe,cnamesubtribe,genus,cnameGenus,genusKey,subgenus,cnamesubgenus,species,cnameSpecies,speciesKey,subspecies,cnmaesubspecies,variety,cnamevariety,iucnRedListCategory,statuskepunahan
1443471,"Brachycentrus Curtis, 1834",1443471,"Brachycentrus Curtis, 1834",GENUS,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Ecdysozoa,Kurikula tiiga-lapis,Arthropoda,Hewan bernuku-buku,54,Hexapoda,,,,Insecta,Serangga,216,Pterygota,Serangga bersayap,,,Trichoptera,Lalat kadis,1003,Integripalpia,,Limnephiloidea,,Brachycentridae,Lalat-kadis tanpa-punuk,4390.0,,,,,,,,,Brachycentrus,Lalat-kadis nenek',1443471.0,,,,,,,,,,,
11509740,BOLD:ADB1554,11509740,BOLD:ADB1554,FAMILY,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Ecdysozoa,Kurikula tiiga-lapis,Arthropoda,Hewan bernuku-buku,54,Hexapoda,,,,Insecta,Serangga,216,Pterygota,Serangga bersayap,,,Trichoptera,Lalat kadis,1003,Integripalpia,,Limnephiloidea,,Brachycentridae,Lalat-kadis tanpa-punuk,4390.0,,,,,,,,,,,,,,,,,,,,,,
1437239,"Anisocentropus golem Malicky, 1994",1437239,"Anisocentropus golem Malicky, 1994",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Ecdysozoa,Kurikula tiiga-lapis,Arthropoda,Hewan bernuku-buku,54,Hexapoda,,,,Insecta,Serangga,216,Pterygota,Serangga bersayap,,,Trichoptera,Lalat kadis,1003,Integripalpia,,Leptoceroidea,,Calamoceratidae,,4391.0,,,,,,,,,Anisocentropus,,1437228.0,,,Anisocentropus golem,,1437239.0,,,,,NE,
11928845,BOLD:ADD0969,11928845,BOLD:ADD0969,SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Ecdysozoa,Kurikula tiiga-lapis,Arthropoda,Hewan bernuku-buku,54,Hexapoda,,,,Insecta,Serangga,216,Pterygota,Serangga bersayap,,,Trichoptera,Lalat kadis,1003,Integripalpia,,Leptoceroidea,,Calamoceratidae,,4391.0,,,,,,,,,Anisocentropus,,1437228.0,,,Anisocentropus flavomarginatus,,1437280.0,,,,,,
1437285,"Anisocentropus illustris McLachlan, 1863",1437285,"Anisocentropus illustris McLachlan, 1863",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Ecdysozoa,Kurikula tiiga-lapis,Arthropoda,Hewan bernuku-buku,54,Hexapoda,,,,Insecta,Serangga,216,Pterygota,Serangga bersayap,,,Trichoptera,Lalat kadis,1003,Integripalpia,,Leptoceroidea,,Calamoceratidae,,4391.0,,,,,,,,,Anisocentropus,,1437228.0,,,Anisocentropus illustris,,1437285.0,,,,,NE,
1437228,"Anisocentropus McLachlan, 1863",1437228,"Anisocentropus McLachlan, 1863",GENUS,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Ecdysozoa,Kurikula tiiga-lapis,Arthropoda,Hewan bernuku-buku,54,Hexapoda,,,,Insecta,Serangga,216,Pterygota,Serangga bersayap,,,Trichoptera,Lalat kadis,1003,Integripalpia,,Leptoceroidea,,Calamoceratidae,,4391.0,,,,,,,,,Anisocentropus,,1437228.0,,,,,,,,,,,
10147284,"Ganonema fuscipenne H Albarda, 1881",10147284,"Ganonema fuscipenne H Albarda, 1881",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Ecdysozoa,Kurikula tiiga-lapis,Arthropoda,Hewan bernuku-buku,54,Hexapoda,,,,Insecta,Serangga,216,Pterygota,Serangga bersayap,,,Trichoptera,Lalat kadis,1003,Integripalpia,,Leptoceroidea,,Calamoceratidae,,4391.0,,,,,,,,,Ganonema,,1437289.0,,,Ganonema fuscipenne,,10147284.0,,,,,NE,
1437289,"Ganonema McLachlan, 1866",1437289,"Ganonema McLachlan, 1866",GENUS,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Ecdysozoa,Kurikula tiiga-lapis,Arthropoda,Hewan bernuku-buku,54,Hexapoda,,,,Insecta,Serangga,216,Pterygota,Serangga bersayap,,,Trichoptera,Lalat kadis,1003,Integripalpia,,Leptoceroidea,,Calamoceratidae,,4391.0,,,,,,,,,Ganonema,,1437289.0,,,,,,,,,,,
4391,Calamoceratidae,4391,Calamoceratidae,FAMILY,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Ecdysozoa,Kurikula tiiga-lapis,Arthropoda,Hewan bernuku-buku,54,Hexapoda,,,,Insecta,Serangga,216,Pterygota,Serangga bersayap,,,Trichoptera,Lalat kadis,1003,Integripalpia,,Leptoceroidea,,Calamoceratidae,,4391.0,,,,,,,,,,,,,,,,,,,,,,
1434409,"Apsilochorema gisbum (Mosely, 1953)",1434409,"Apsilochorema gisbum (Mosely, 1953)",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Ecdysozoa,Kurikula tiiga-lapis,Arthropoda,Hewan bernuku-buku,54,Hexapoda,,,,Insecta,Serangga,216,Pterygota,Serangga bersayap,,,Trichoptera,Lalat kadis,1003,Spicipalpia,,Rhyacophiloidea,,Hydrobiosidae,,4392.0,,,,,,,,,Apsilochorema,,1434403.0,,,Apsilochorema gisbum,,1434409.0,,,,,NE,
