taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,taxonRank,taxonomicStatus,domain,cnamedomain,superkingdom,cnamesuperkingdom,kingdom,cnameKindom,kingdomKey,subkingdom,cnamesubkingdom,superphylum,cnamesuperphylum,phylum,cnamePhylum,phylumKey,subphylum,cnmaesubphylum,superclass,cnamesuperclass,class,cnameClass,classKey,subclass,cnamesubclass,superorder,cnamesuperorder,order,cnameOrder,orderKey,suborder,cnamesuborder,superfamily,cnamesuperfamily,family,cnameFamily,familyKey,subfamily,cnamesubfamily,supertribe,cnamesupertribe,tribe,cnametribe,subtribe,cnamesubtribe,genus,cnameGenus,genusKey,subgenus,cnamesubgenus,species,cnameSpecies,speciesKey,subspecies,cnmaesubspecies,variety,cnamevariety,iucnRedListCategory,statuskepunahan
2307068,"Eukrohnia bathypelagica Alvariño, 1962",2307068,"Eukrohnia bathypelagica Alvariño, 1962",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Chaetognatha,Cacing panah,55,,,,,Sagittoidea,Cacing panah,7920181.0,,,,,Phragmophora,Cacing panah,7468363.0,,,,,Eukrohniidae,Cacing panah,6205.0,,,,,,,,,Eukrohnia,Cacing panah,2307067.0,,,Eukrohnia bathypelagica,Cacing-panah pelagik,2307068.0,,,,,NE,
2307069,"Eukrohnia fowleri Ritter-Záhony, 1909",2307069,"Eukrohnia fowleri Ritter-Záhony, 1909",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Chaetognatha,Cacing panah,55,,,,,Sagittoidea,Cacing panah,7920181.0,,,,,Phragmophora,Cacing panah,7468363.0,,,,,Eukrohniidae,Cacing panah,6205.0,,,,,,,,,Eukrohnia,Cacing panah,2307067.0,,,Eukrohnia fowleri,Cacing-panah sirip-pendar,2307069.0,,,,,NE,
2307078,"Eukrohnia hamata (Möbius, 1875)",2307078,"Eukrohnia hamata (Möbius, 1875)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Chaetognatha,Cacing panah,55,,,,,Sagittoidea,Cacing panah,7920181.0,,,,,Phragmophora,Cacing panah,7468363.0,,,,,Eukrohniidae,Cacing panah,6205.0,,,,,,,,,Eukrohnia,Cacing panah,2307067.0,,,Eukrohnia hamata,Cacing-panah sirip-lebar,2307078.0,,,,,NE,
2307067,"Eukrohnia Ritter-Záhony, 1909",2307067,"Eukrohnia Ritter-Záhony, 1909",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Chaetognatha,Cacing panah,55,,,,,Sagittoidea,Cacing panah,7920181.0,,,,,Phragmophora,Cacing panah,7468363.0,,,,,Eukrohniidae,Cacing panah,6205.0,,,,,,,,,Eukrohnia,Cacing panah,2307067.0,,,,,,,,,,,
2307131,"Pterosagitta draco (Krohn, 1853)",2307131,"Pterosagitta draco (Krohn, 1853)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Chaetognatha,Cacing panah,55,,,,,Sagittoidea,Cacing panah,7920181.0,,,,,Aphragmophora,Cacing panah,8089559.0,,,,,Pterosagittidae,Cacing panah,1904.0,,,,,,,,,Pterosagitta,Cacing panah,2307130.0,,,Pterosagitta draco,Cacing-panah naga,2307131.0,,,,,NE,
2307127,"Krohnitta pacifica (Aida, 1897)",2307127,"Krohnitta pacifica (Aida, 1897)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Chaetognatha,Cacing panah,55,,,,,Sagittoidea,Cacing panah,7920181.0,,,,,Aphragmophora,Cacing panah,8089559.0,,,,,Krohnittidae,Cacing panah,6206.0,,,,,,,,,Krohnitta,Cacing panah,2307126.0,,,Krohnitta pacifica,Cacing-panah pasifik,2307127.0,,,,,NE,
2307129,"Krohnitta subtilis (Grassi, 1881)",2307129,"Krohnitta subtilis (Grassi, 1881)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Chaetognatha,Cacing panah,55,,,,,Sagittoidea,Cacing panah,7920181.0,,,,,Aphragmophora,Cacing panah,8089559.0,,,,,Krohnittidae,Cacing panah,6206.0,,,,,,,,,Krohnitta,Cacing panah,2307126.0,,,Krohnitta subtilis,Cacing-panah ramping,2307129.0,,,,,NE,
2306887,"Flaccisagitta enflata (Grassi, 1881)",2306887,"Flaccisagitta enflata (Grassi, 1881)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Chaetognatha,Cacing panah,55,,,,,Sagittoidea,Cacing panah,7920181.0,,,,,Aphragmophora,Cacing panah,8089559.0,,,,,Sagittidae,Cacing panah,6207.0,,,,,,,,,Flaccisagitta,Cacing panah,2306883.0,,,Flaccisagitta enflata,Cacing-panah lembek,2306887.0,,,,,NE,
5193904,"Sagitta bipunctata Quoy & Gaimard, 1827",5193904,"Sagitta bipunctata Quoy & Gaimard, 1827",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Chaetognatha,Cacing panah,55,,,,,Sagittoidea,Cacing panah,7920181.0,,,,,Aphragmophora,Cacing panah,8089559.0,,,,,Sagittidae,Cacing panah,6207.0,,,,,,,,,Sagitta,Cacing panah,2306892.0,,,Sagitta bipunctata,Cacing-panah ujung-ganda,5193904.0,,,,,NE,
5711467,"Sagitta zetesios Fowler, 1905",5711467,"Sagitta zetesios Fowler, 1905",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Chaetognatha,Cacing panah,55,,,,,Sagittoidea,Cacing panah,7920181.0,,,,,Aphragmophora,Cacing panah,8089559.0,,,,,Sagittidae,Cacing panah,6207.0,,,,,,,,,Sagitta,Cacing panah,2306892.0,,,Sagitta zetesios,Cacing-tanah pengemis,5711467.0,,,,,NE,
2306892,"Sagitta Quoy & Gaimard, 1827",2306892,"Sagitta Quoy & Gaimard, 1827",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Chaetognatha,Cacing panah,55,,,,,Sagittoidea,Cacing panah,7920181.0,,,,,Aphragmophora,Cacing panah,8089559.0,,,,,Sagittidae,Cacing panah,6207.0,,,,,,,,,Sagitta,Cacing panah,2306892.0,,,,,,,,,,,
2306952,"Serratosagitta tasmanica (Thompson, 1947)",2306952,"Serratosagitta tasmanica (Thompson, 1947)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Chaetognatha,Cacing panah,55,,,,,Sagittoidea,Cacing panah,7920181.0,,,,,Aphragmophora,Cacing panah,8089559.0,,,,,Sagittidae,Cacing panah,6207.0,,,,,,,,,Serratosagitta,Cacing panah,2306949.0,,,Serratosagitta tasmanica,Cacing-panah tasmania,2306952.0,,,,,NE,
2306955,"Serratosagitta serratodentata (Krohn, 1853)",2306955,"Serratosagitta serratodentata (Krohn, 1853)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Chaetognatha,Cacing panah,55,,,,,Sagittoidea,Cacing panah,7920181.0,,,,,Aphragmophora,Cacing panah,8089559.0,,,,,Sagittidae,Cacing panah,6207.0,,,,,,,,,Serratosagitta,Cacing panah,2306949.0,,,Serratosagitta serratodentata,Cacing-panah gigi-gerigi,2306955.0,,,,,NE,
2306961,"Aidanosagitta Tokioka & Pathansali, 1963",2306961,"Aidanosagitta Tokioka & Pathansali, 1963",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Chaetognatha,Cacing panah,55,,,,,Sagittoidea,Cacing panah,7920181.0,,,,,Aphragmophora,Cacing panah,8089559.0,,,,,Sagittidae,Cacing panah,6207.0,,,,,,,,,Aidanosagitta,Cacing panah,2306961.0,,,,,,,,,,,
2306989,"Ferosagitta Kassatkina, 1971",2306989,"Ferosagitta Kassatkina, 1971",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Chaetognatha,Cacing panah,55,,,,,Sagittoidea,Cacing panah,7920181.0,,,,,Aphragmophora,Cacing panah,8089559.0,,,,,Sagittidae,Cacing panah,6207.0,,,,,,,,,Ferosagitta,Cacing panah,2306989.0,,,,,,,,,,,
2307009,"Pseudosagitta gazellae (Ritter-Záhony, 1909)",2307009,"Pseudosagitta gazellae (Ritter-Záhony, 1909)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Chaetognatha,Cacing panah,55,,,,,Sagittoidea,Cacing panah,7920181.0,,,,,Aphragmophora,Cacing panah,8089559.0,,,,,Sagittidae,Cacing panah,6207.0,,,,,,,,,Pseudosagitta,Cacing panah,2307007.0,,,Pseudosagitta gazellae,Cacing-panah jangkung,2307009.0,,,,,NE,
7920181,Sagittoidea,7920181,Sagittoidea,CLASS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Chaetognatha,Cacing panah,55,,,,,Sagittoidea,Cacing panah,7920181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Chaetognatha,55,Chaetognatha,PHYLUM,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Chaetognatha,Cacing panah,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
