taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,taxonRank,taxonomicStatus,domain,cnamedomain,superkingdom,cnamesuperkingdom,kingdom,cnameKingdom,kingdomKey,subkingdom,cnamesubkingdom,superphylum,cnamesuperphylum,phylum,cnamePhylum,phylumKey,subphylum,cnmaesubphylum,superclass,cnamesuperclass,class,cnameClass,classKey,subclass,cnamesubclass,superorder,cnamesuperorder,order,cnameOrder,orderKey,suborder,cnamesuborder,superfamily,cnamesuperfamily,family,cnameFamily,familyKey,subfamily,cnamesubfamily,supertribe,cnamesupertribe,tribe,cnametribe,subtribe,cnamesubtribe,genus,cnameGenus,genusKey,subgenus,cnamesubgenus,species,cnamespecies,speciesKey,subspecies,cnmaesubspecies,variety,cnamevariety,iucnRedListCategory,statuskepunahan
10733174,BOLD:ADE2625,10733174,BOLD:ADE2625,FAMILY,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Collembola,Ekor-pegas,10713444,,,,,Symphypleona,Ekor-pegas bulat,10730025.0,,,,,Sminthurididae,Ekor-pegas bulat,2151.0,,,,,,,,,,,,,,,,,,,,,,
2983,Katiannidae,2983,Katiannidae,FAMILY,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Collembola,Ekor-pegas,10713444,,,,,Symphypleona,Ekor-pegas bulat,10730025.0,,,,,Katiannidae,Ekor-pegas bulat,2983.0,,,,,,,,,,,,,,,,,,,,,,
2991,Bourletiellidae,2991,Bourletiellidae,FAMILY,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Collembola,Ekor-pegas,10713444,,,,,Symphypleona,Ekor-pegas bulat,10730025.0,,,,,Bourletiellidae,Ekor-pegas bulat,2991.0,,,,,,,,,,,,,,,,,,,,,,
2120693,"Sphyrotheca C.Börner, 1906",2120693,"Sphyrotheca C.Börner, 1906",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Collembola,Ekor-pegas,10713444,,,,,Symphypleona,Ekor-pegas bulat,10730025.0,,,,,Sminthuridae,Ekor-pegas bulat,5844.0,,,,,,,,,Sphyrotheca,Ekor-pegas bulat,2120693.0,,,,,,,,,,,
10732354,BOLD:ACO7536,10732354,BOLD:ACO7536,FAMILY,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Collembola,Ekor-pegas,10713444,,,,,Symphypleona,Ekor-pegas bulat,10730025.0,,,,,Sminthuridae,Ekor-pegas bulat,5844.0,,,,,,,,,,,,,,,,,,,,,,
9123418,"Papirioides jacobsoni Folsom, 1924",9123418,"Papirioides jacobsoni Folsom, 1924",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Collembola,Ekor-pegas,10713444,,,,,Symphypleona,Ekor-pegas bulat,10730025.0,,,,,Dicyrtomidae,Ekor-pegas bulat,7217.0,,,,,,,,,Papirioides,Ekor-pegas bulat,4640804.0,,,Papirioides jacobsoni,Ekor-pegas bulat,9123418.0,,,,,NE,
7217,Dicyrtomidae,7217,Dicyrtomidae,FAMILY,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Collembola,Ekor-pegas,10713444,,,,,Symphypleona,Ekor-pegas bulat,10730025.0,,,,,Dicyrtomidae,Ekor-pegas bulat,7217.0,,,,,,,,,,,,,,,,,,,,,,
10730025,Symphypleona,10730025,Symphypleona,ORDER,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Collembola,Ekor-pegas,10713444,,,,,Symphypleona,Ekor-pegas bulat,10730025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2982,Onychiuridae,2982,Onychiuridae,FAMILY,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Collembola,Ekor-pegas,10713444,,,,,Poduromorpha,Ekor-pegas,10802062.0,,,,,Onychiuridae,Ekor-pegas,2982.0,,,,,,,,,,,,,,,,,,,,,NE,
2121977,"Pseudachorudina Stach, 1949",2121977,"Pseudachorudina Stach, 1949",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Collembola,Ekor-pegas,10713444,,,,,Poduromorpha,Ekor-pegas,10802062.0,,,,,Neanuridae,Ekor-pegas kaki-pendek,7212.0,,,,,,,,,Pseudachorudina,Ekor-pegas kaki-pendek,2121977.0,,,,,,,,,,,
