taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,taxonRank,taxonomicStatus,domain,cnamedomain,superkingdom,cnamesuperkingdom,kingdom,cnameKingdom,kingdomKey,subkingdom,cnamesubkingdom,superphylum,cnamesuperphylum,phylum,cnamePhylum,phylumKey,subphylum,cnmaesubphylum,superclass,cnamesuperclass,class,cnameClass,classKey,subclass,cnamesubclass,superorder,cnamesuperorder,order,cnameOrder,orderKey,suborder,cnamesuborder,superfamily,cnamesuperfamily,family,cnameFamily,familyKey,subfamily,cnamesubfamily,supertribe,cnamesupertribe,tribe,cnametribe,subtribe,cnamesubtribe,genus,cnameGenus,genusKey,subgenus,cnamesubgenus,species,cnameSpecies,speciesKey,subspecies,cnmaesubspecies,variety,cnamevariety,iucnRedListCategory,statuskepunahan
1407104,"Potamanthus Pictet, 1845",1407104,"Potamanthus Pictet, 1845",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Ephemeroptera,Lalat capung,1225,,,,,Potamanthidae,Lalat-capung insang-patah,2235.0,,,,,,,,,Potamanthus,Lalat-capung insang-patah,1407104.0,,,,,,,,,,,
1407481,"Ameletus Eaton, 1885",1407481,"Ameletus Eaton, 1885",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Ephemeroptera,Lalat capung,1225,,,,,Ameletidae,Lalat capung,4294.0,,,,,,,,,Ameletus,Lalat capung,1407481.0,,,,,,,,,,,
1409019,"Neoephemera McDunnough, 1925",1409019,"Neoephemera McDunnough, 1925",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Ephemeroptera,Lalat capung,1225,,,,,Neoephemeridae,Lalat capung,4296.0,,,,,,,,,Neoephemera,Lalat capung,1409019.0,,,,,,,,,,,
1408897,"Lachlania Hagen, 1868",1408897,"Lachlania Hagen, 1868",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Ephemeroptera,Lalat capung,1225,,,,,Oligoneuriidae,Lalat-capung kaki-sisir,4301.0,,,,,,,,,Lachlania,Lalat-capung kaki-sisir,1408897.0,,,,,,,,,,,
1408390,"Isonychia Eaton, 1871",1408390,"Isonychia Eaton, 1871",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Ephemeroptera,Lalat capung,1225,,,,,Isonychiidae,Lalat-capung kaki-sisir,4302.0,,,,,,,,,Isonychia,Lalat-capung kaki-sisir,1408390.0,,,,,,,,,,,
1407108,"Baetis Leach, 1815",1407108,"Baetis Leach, 1815",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Ephemeroptera,Lalat capung,1225,,,,,Baetidae,Lalat-capung kecil,7865.0,,,,,,,,,Baetis,Oliv sayap-biru,1407108.0,,,,,,,,,,,
1407575,"Callibaetis Eaton, 1881",1407575,"Callibaetis Eaton, 1881",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Ephemeroptera,Lalat capung,1225,,,,,Baetidae,Lalat-capung kecil,7865.0,,,,,,,,,Callibaetis,Duns berbintik,1407575.0,,,,,,,,,,,
10836326,BOLD:ADP3536,10836326,BOLD:ADP3536,gr,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Ephemeroptera,Lalat capung,1225,,,,,Baetidae,Lalat-capung kecil,7865.0,,,,,,,,,Labiobaetis,Lalat-capung kecil,1407643.0,,,,,,,,,,,
1407774,"Baetodes Needham & Murphy, 1924",1407774,"Baetodes Needham & Murphy, 1924",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Ephemeroptera,Lalat capung,1225,,,,,Baetidae,Lalat-capung kecil,7865.0,,,,,,,,,Baetodes,Lalat-capung kecil,1407774.0,,,,,,,,,,,
7196928,"Cloeon bengalense Kimmins, 1947",7196928,"Cloeon bengalense Kimmins, 1947",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Ephemeroptera,Lalat capung,1225,,,,,Baetidae,Lalat-capung kecil,7865.0,,,,,,,,,Cloeon,Lalat-capung insang-ganda,1407878.0,,,Cloeon bengalense,Lalat-capung insang-ganda,7196928.0,,,,,NE,
