taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,taxonRank,taxonomicStatus,domain,cnamedomain,superkingdom,cnamesuperkingdom,kingdom,cnameKindom,kingdomKey,subkingdom,cnamesubkingdom,superphylum,cnamesuperphylum,phylum,cnamePhylum,phylumKey,subphylum,cnmaesubphylum,superclass,cnamesuperclass,class,cnameClass,classKey,subclass,cnamesubclass,superorder,cnamesuperorder,order,cnameOrder,orderKey,suborder,cnamesuborder,superfamily,cnamesuperfamily,family,cnameFamily,familyKey,subfamily,cnamesubfamily,supertribe,cnamesupertribe,tribe,cnametribe,subtribe,cnamesubtribe,genus,cnameGenus,genusKey,subgenus,cnamesubgenus,species,cnameSpecies,speciesKey,subspecies,cnmaesubspecies,variety,cnamevariety,iucnRedListCategory,statuskepunahan
2508124,"Tubulanus polymorphus Renier, 1804",2508124,"Tubulanus polymorphus Renier, 1804",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Nemertea,Cacing pita,63,,,,,Palaeonemertea,Cacing-pita purba,7194193.0,,,,,Kelas: Palaeonemertea,Cacing pita,,,,,,Tubulanidae,Cacing pita,1994.0,,,,,,,,,Tubulanus,Cacing pita,2508085.0,,,Tubulanus polymorphus,Cacing-pita merah,2508124.0,,,,,NE,
2508233,"Baseodiscus quinquelineatus (Quoy & Gaimard, 1833)",2508233,"Baseodiscus quinquelineatus (Quoy & Gaimard, 1833)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Nemertea,Cacing pita,63,,,,,Pilidiophora,Cacing pita,9981053.0,,,,,Heteronemertea,Cacing pita,10494416.0,,,,,Valenciniidae,Cacing pita,1993.0,,,,,,,,,Baseodiscus,Cacing-pita bergaris,2506525.0,,,Baseodiscus quinquelineatus,Cacing-pita bergaris-lima,2508233.0,,,,,NE,
2508268,"Baseodiscus hemprichii (Ehrenberg, 1831)",2508268,"Baseodiscus hemprichii (Ehrenberg, 1831)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Nemertea,Cacing pita,63,,,,,Pilidiophora,Cacing pita,9981053.0,,,,,Heteronemertea,Cacing pita,10494416.0,,,,,Valenciniidae,Cacing pita,1993.0,,,,,,,,,Baseodiscus,Cacing-pita bergaris,2506525.0,,,Baseodiscus hemprichii,Cacing-pita bergaris-tunggal,2508268.0,,,,,NE,
2508277,"Baseodiscus delineatus (Delle Chiaje, 1822)",2508277,"Baseodiscus delineatus (Delle Chiaje, 1822)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Nemertea,Cacing pita,63,,,,,Pilidiophora,Cacing pita,9981053.0,,,,,Heteronemertea,Cacing pita,10494416.0,,,,,Valenciniidae,Cacing pita,1993.0,,,,,,,,,Baseodiscus,Cacing-pita bergaris,2506525.0,,,Baseodiscus delineatus,Cacing-pita loreng,2508277.0,,,,,NE,
2506525,"Baseodiscus Diesing, 1850",2506525,"Baseodiscus Diesing, 1850",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Nemertea,Cacing pita,63,,,,,Pilidiophora,Cacing pita,9981053.0,,,,,Heteronemertea,Cacing pita,10494416.0,,,,,Valenciniidae,Cacing pita,1993.0,,,,,,,,,Baseodiscus,Cacing-pita bergaris,2506525.0,,,,,,,,,,,
8350551,"Eupolia Hubrecht, 1887",8350551,"Eupolia Hubrecht, 1887",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Nemertea,Cacing pita,63,,,,,Pilidiophora,Cacing pita,9981053.0,,,,,Heteronemertea,Cacing pita,10494416.0,,,,,Valenciniidae,Cacing pita,1993.0,,,,,,,,,Eupolia,Cacing pita,8350551.0,,,,,,,,,,,
2507886,"Cerebratulus medullatus Hubrecht, 1887",2507886,"Cerebratulus medullatus Hubrecht, 1887",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Nemertea,Cacing pita,63,,,,,Pilidiophora,Cacing pita,9981053.0,,,,,Heteronemertea,Cacing pita,10494416.0,,,,,Lineidae,Cacing pita,6296.0,,,,,,,,,Cerebratulus,Cacing pita,2506327.0,,,Cerebratulus medullatus,Cacing-pita sumsum,2507886.0,,,,,NE,
2506327,"Cerebratulus Renier, 1804",2506327,"Cerebratulus Renier, 1804",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Nemertea,Cacing pita,63,,,,,Pilidiophora,Cacing pita,9981053.0,,,,,Heteronemertea,Cacing pita,10494416.0,,,,,Lineidae,Cacing pita,6296.0,,,,,,,,,Cerebratulus,Cacing pita,2506327.0,,,,,,,,,,,
2508398,"Lineus fuscoviridis Takakura, 1898",2508398,"Lineus fuscoviridis Takakura, 1898",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Nemertea,Cacing pita,63,,,,,Pilidiophora,Cacing pita,9981053.0,,,,,Heteronemertea,Cacing pita,10494416.0,,,,,Lineidae,Cacing pita,6296.0,,,,,,,,,Lineus,Cacing-pita bergaris,2508773.0,,,Lineus fuscoviridis,Cacing-pita hijau-lumut,2508398.0,,,,,NE,
2508773,"Lineus Sowerby, 1806",2508773,"Lineus Sowerby, 1806",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Nemertea,Cacing pita,63,,,,,Pilidiophora,Cacing pita,9981053.0,,,,,Heteronemertea,Cacing pita,10494416.0,,,,,Lineidae,Cacing pita,6296.0,,,,,,,,,Lineus,Cacing-pita bergaris,2508773.0,,,,,,,,,,,
