taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,taxonRank,taxonomicStatus,domain,cnamedomain,superkingdom,cnamesuperkingdom,kingdom,cnameKindom,kingdomKey,subkingdom,cnamesubkingdom,superphylum,cnamesuperphylum,phylum,cnamePhylum,phylumKey,subphylum,cnmaesubphylum,superclass,cnamesuperclass,class,cnameClass,classKey,subclass,cnamesubclass,superorder,cnamesuperorder,order,cnameOrder,orderKey,suborder,cnamesuborder,superfamily,cnamesuperfamily,family,cnameFamily,familyKey,subfamily,cnamesubfamily,supertribe,cnamesupertribe,tribe,cnametribe,subtribe,cnamesubtribe,genus,cnameGenus,genusKey,subgenus,cnamesubgenus,species,cnameSpecies,speciesKey,subspecies,cnmaesubspecies,variety,cnamevariety,iucnRedListCategory,statuskepunahan
9833601,BOLD:ACM2095,9833601,BOLD:ACM2095,SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Thysanoptera,Kutu trips,1228,,,,,Aeolothripidae,Trips bergaris,4383.0,,,,,,,,,Franklinothrips,Trips bergaris,1420972.0,,,Franklinothrips megalops,Trips bergaris,7366269.0,,,,,,
4801361,"Gelothrips cinctus (Hood, 1918)",4801361,"Gelothrips cinctus (Hood, 1918)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Thysanoptera,Kutu trips,1228,,,,,Aeolothripidae,Trips bergaris,4383.0,,,,,,,,,Gelothrips,Trips bergaris,4801360.0,,,Gelothrips cinctus,Trips bergaris,4801361.0,,,,,NE,
4383,Aeolothripidae,4383,Aeolothripidae,FAMILY,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Thysanoptera,Kutu trips,1228,,,,,Aeolothripidae,Trips bergaris,4383.0,,,,,,,,,,,,,,,,,,,,,,
4385,Merothripidae,4385,Merothripidae,FAMILY,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Thysanoptera,Kutu trips,1228,,,,,Merothripidae,Kutu trips,4385.0,,,,,,,,,,,,,,,,,,,,,,
1420011,"Haplothrips Amyot & Serville, 1843",1420011,"Haplothrips Amyot & Serville, 1843",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Thysanoptera,Kutu trips,1228,,,,,Phlaeothripidae,Trips ekor-tabung,4386.0,,,,,,,,,Haplothrips,Trips ekor-tabung,1420011.0,,,,,,,,,,,
10156462,BOLD:ACZ2126,10156462,BOLD:ACZ2126,GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Thysanoptera,Kutu trips,1228,,,,,Phlaeothripidae,Trips ekor-tabung,4386.0,,,,,,,,,Stephanothrips,Trips ekor-tabung,1420112.0,,,,,,,,,,,
1420185,"Gynaikothrips ficorum (Marchal, 1908)",1420185,"Gynaikothrips ficorum (Marchal, 1908)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Thysanoptera,Kutu trips,1228,,,,,Phlaeothripidae,Trips ekor-tabung,4386.0,,,,,,,,,Gynaikothrips,Trips ekor-tabung,1420184.0,,,Gynaikothrips ficorum,Trips kuba,1420185.0,,,,,NE,
1420184,"Gynaikothrips Zimmermann, 1900",1420184,"Gynaikothrips Zimmermann, 1900",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Thysanoptera,Kutu trips,1228,,,,,Phlaeothripidae,Trips ekor-tabung,4386.0,,,,,,,,,Gynaikothrips,Trips ekor-tabung,1420184.0,,,,,,,,,,,
1420205,"Hoplandrothrips Hood, 1912",1420205,"Hoplandrothrips Hood, 1912",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Thysanoptera,Kutu trips,1228,,,,,Phlaeothripidae,Trips ekor-tabung,4386.0,,,,,,,,,Hoplandrothrips,Trips ekor-tabung,1420205.0,,,,,,,,,,,
9941987,BOLD:ACD5493,9941987,BOLD:ACD5493,GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Thysanoptera,Kutu trips,1228,,,,,Phlaeothripidae,Trips ekor-tabung,4386.0,,,,,,,,,Elaphrothrips,Trips ekor-tabung,1420386.0,,,,,,,,,,,
