taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,taxonRank,taxonomicStatus,domain,cnamedomain,superkingdom,cnamesuperkingdom,kingdom,cnameKindom,kingdomKey,subkingdom,cnamesubkingdom,superphylum,cnamesuperphylum,phylum,cnamePhylum,phylumKey,subphylum,cnmaesubphylum,superclass,cnamesuperclass,class,cnameClass,classKey,subclass,cnamesubclass,superorder,cnamesuperorder,order,cnameOrder,orderKey,suborder,cnamesuborder,superfamily,cnamesuperfamily,family,cnameFamily,familyKey,subfamily,cnamesubfamily,supertribe,cnamesupertribe,tribe,cnametribe,subtribe,cnamesubtribe,genus,cnameGenus,genusKey,subgenus,cnamesubgenus,species,cnameSpecies,speciesKey,subspecies,cnmaesubspecies,variety,cnamevariety,iucnRedListCategory,statuskepunahan
2510236,"Aspidosiphon coyi Quatrefages, 1865",2510236,"Aspidosiphon coyi Quatrefages, 1865",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Sipuncula,Cacing kacang,74,,,,,Phascolosomatidea,Cacing kacang,158.0,,,,,Aspidosiphoniformes,Cacing kacang,1154.0,,,,,Aspidosiphonidae,Cacing kacang,3389.0,,,,,,,,,Aspidosiphon,Cacing kacang,2509753.0,,,Aspidosiphon coyi,Cacing kacang,2510236.0,,,,,NE,
2510248,"Aspidosiphon steenstrupii Diesing, 1859",2510248,"Aspidosiphon steenstrupii Diesing, 1859",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Sipuncula,Cacing kacang,74,,,,,Phascolosomatidea,Cacing kacang,158.0,,,,,Aspidosiphoniformes,Cacing kacang,1154.0,,,,,Aspidosiphonidae,Cacing kacang,3389.0,,,,,,,,,Aspidosiphon,Cacing kacang,2509753.0,,,Aspidosiphon steenstrupii,Cacing kacang,2510248.0,,,,,NE,
2510274,"Aspidosiphon cylindricus Horst, 1899",2510274,"Aspidosiphon cylindricus Horst, 1899",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Sipuncula,Cacing kacang,74,,,,,Phascolosomatidea,Cacing kacang,158.0,,,,,Aspidosiphoniformes,Cacing kacang,1154.0,,,,,Aspidosiphonidae,Cacing kacang,3389.0,,,,,,,,,Aspidosiphon,Cacing kacang,2509753.0,,,Aspidosiphon cylindricus,Cacing kacang,2510274.0,,,,,NE,
2510281,"Aspidosiphon spiralis Sluiter, 1902",2510281,"Aspidosiphon spiralis Sluiter, 1902",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Sipuncula,Cacing kacang,74,,,,,Phascolosomatidea,Cacing kacang,158.0,,,,,Aspidosiphoniformes,Cacing kacang,1154.0,,,,,Aspidosiphonidae,Cacing kacang,3389.0,,,,,,,,,Aspidosiphon,Cacing kacang,2509753.0,,,Aspidosiphon spiralis,Cacing kacang,2510281.0,,,,,NE,
2510282,"Aspidosiphon muelleri Diesing, 1851",2510282,"Aspidosiphon muelleri Diesing, 1851",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Sipuncula,Cacing kacang,74,,,,,Phascolosomatidea,Cacing kacang,158.0,,,,,Aspidosiphoniformes,Cacing kacang,1154.0,,,,,Aspidosiphonidae,Cacing kacang,3389.0,,,,,,,,,Aspidosiphon,Cacing kacang,2509753.0,,,Aspidosiphon muelleri,Cacing-kacang muller,2510282.0,,,,,NE,
2510310,"Aspidosiphon elegans (Chamisso & Eysenhardt, 1821)",2510310,"Aspidosiphon elegans (Chamisso & Eysenhardt, 1821)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Sipuncula,Cacing kacang,74,,,,,Phascolosomatidea,Cacing kacang,158.0,,,,,Aspidosiphoniformes,Cacing kacang,1154.0,,,,,Aspidosiphonidae,Cacing kacang,3389.0,,,,,,,,,Aspidosiphon,Cacing kacang,2509753.0,,,Aspidosiphon elegans,Cacing kacang,2510310.0,,,,,NE,
2510328,"Aspidosiphon tenuis Sluiter, 1886",2510328,"Aspidosiphon tenuis Sluiter, 1886",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Sipuncula,Cacing kacang,74,,,,,Phascolosomatidea,Cacing kacang,158.0,,,,,Aspidosiphoniformes,Cacing kacang,1154.0,,,,,Aspidosiphonidae,Cacing kacang,3389.0,,,,,,,,,Aspidosiphon,Cacing kacang,2509753.0,,,Aspidosiphon tenuis,Cacing kacang,2510328.0,,,,,NE,
2510338,"Aspidosiphon laevis Quatrefages, 1865",2510338,"Aspidosiphon laevis Quatrefages, 1865",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Sipuncula,Cacing kacang,74,,,,,Phascolosomatidea,Cacing kacang,158.0,,,,,Aspidosiphoniformes,Cacing kacang,1154.0,,,,,Aspidosiphonidae,Cacing kacang,3389.0,,,,,,,,,Aspidosiphon,Cacing kacang,2509753.0,,,Aspidosiphon laevis,Cacing kacang,2510338.0,,,,,NE,
6284768,Aspidosiphon gracilis gracilis,6284768,Aspidosiphon gracilis gracilis,SUBSPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Sipuncula,Cacing kacang,74,,,,,Phascolosomatidea,Cacing kacang,158.0,,,,,Aspidosiphoniformes,Cacing kacang,1154.0,,,,,Aspidosiphonidae,Cacing kacang,3389.0,,,,,,,,,Aspidosiphon,Cacing kacang,2509753.0,,,Aspidosiphon gracilis,Cacing kacang,2510368.0,,,,,,
2509753,"Aspidosiphon Diesing, 1851",2509753,"Aspidosiphon Diesing, 1851",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Sipuncula,Cacing kacang,74,,,,,Phascolosomatidea,Cacing kacang,158.0,,,,,Aspidosiphoniformes,Cacing kacang,1154.0,,,,,Aspidosiphonidae,Cacing kacang,3389.0,,,,,,,,,Aspidosiphon,Cacing kacang,2509753.0,,,,Cacing kacang,,,,,,,
