taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,taxonRank,taxonomicStatus,domain,cnamedomain,superkingdom,cnamesuperkingdom,kingdom,cnameKindom,kingdomKey,subkingdom,cnamesubkingdom,superphylum,cnamesuperphylum,phylum,cnamePhylum,phylumKey,subphylum,cnmaesubphylum,superclass,cnamesuperclass,class,cnameClass,classKey,subclass,cnamesubclass,superorder,cnamesuperorder,order,cnameOrder,orderKey,suborder,cnamesuborder,superfamily,cnamesuperfamily,family,cnameFamily,familyKey,subfamily,cnamesubfamily,supertribe,cnamesupertribe,tribe,cnametribe,subtribe,cnamesubtribe,genus,cnameGenus,genusKey,subgenus,cnamesubgenus,species,cnameSpecies,speciesKey,subspecies,cnmaesubspecies,variety,cnamevariety,iucnRedListCategory,statuskepunahan
2003678,"Isoperla Banks, 1906",2003678,"Isoperla Banks, 1906",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Plecoptera,Lalat batu,787,,,,,Perlodidae,Lalat-batu ekor-garis,2996.0,,,,,,,,,Isoperla,Lalat-batu ekor-garis,2003678.0,,,,,,,,,,,
6927916,"Nemoura remota Banks, 1920",6927916,"Nemoura remota Banks, 1920",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Plecoptera,Lalat batu,787,,,,,Nemouridae,Lalat-batu hutan,2997.0,,,,,,,,,Nemoura,Lalat-batu hutan,2001440.0,,,Nemoura remota,Lalat-batu hutan,6927916.0,,,,,NE,
2001440,"Nemoura Latreille, 1796",2001440,"Nemoura Latreille, 1796",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Plecoptera,Lalat batu,787,,,,,Nemouridae,Lalat-batu hutan,2997.0,,,,,,,,,Nemoura,Lalat-batu hutan,2001440.0,,,,,,,,,,,
2997,Nemouridae,2997,Nemouridae,FAMILY,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Plecoptera,Lalat batu,787,,,,,Nemouridae,Lalat-batu hutan,2997.0,,,,,,,,,,,,,,,,,,,,,,
10278948,"Leuctra Stephens, 1836",10278948,"Leuctra Stephens, 1836",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Plecoptera,Lalat batu,787,,,,,Leuctridae,Lalat-batu sayap-linting,2998.0,,,,,,,,,Leuctra,Lalat-batu sayap-linting,10278948.0,,,,,,,,,,,
2998,Leuctridae,2998,Leuctridae,FAMILY,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Plecoptera,Lalat batu,787,,,,,Leuctridae,Lalat-batu sayap-linting,2998.0,,,,,,,,,,,,,,,,,,,,,,
2004893,"Tetropina fulgescens (Enderlein, 1909)",2004893,"Tetropina fulgescens (Enderlein, 1909)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Plecoptera,Lalat batu,787,,,,,Perlidae,Lalat-batu biasa,7223.0,,,,,,,,,Tetropina,Lalat-batu biasa,2004890.0,,,Tetropina fulgescens,Lalat-batu kalimantan,2004893.0,,,,,NE,
2004983,"Etrocorema belumensis Wan Nur Asiah & Che Salmah, 2009",2004983,"Etrocorema belumensis Wan Nur Asiah & Che Salmah, 2009",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Plecoptera,Lalat batu,787,,,,,Perlidae,Lalat-batu biasa,7223.0,,,,,,,,,Etrocorema,Lalat-batu biasa,2004982.0,,,Etrocorema belumensis,Lalat-batu malaya,2004983.0,,,,,NE,
2004984,"Etrocorema nigrogeniculatum (Enderlein, 1909)",2004984,"Etrocorema nigrogeniculatum (Enderlein, 1909)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Plecoptera,Lalat batu,787,,,,,Perlidae,Lalat-batu biasa,7223.0,,,,,,,,,Etrocorema,Lalat-batu biasa,2004982.0,,,Etrocorema nigrogeniculatum,Lalat-batu kalimantan,2004984.0,,,,,NE,
2004982,"Etrocorema Klapálek, 1909",2004982,"Etrocorema Klapálek, 1909",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Plecoptera,Lalat batu,787,,,,,Perlidae,Lalat-batu biasa,7223.0,,,,,,,,,Etrocorema,Lalat-batu biasa,2004982.0,,,,,,,,,,,
2005173,"Phanoperla astrospinata Stark & Sheldon, 2009",2005173,"Phanoperla astrospinata Stark & Sheldon, 2009",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Plecoptera,Lalat batu,787,,,,,Perlidae,Lalat-batu biasa,7223.0,,,,,,,,,Phanoperla,Lalat-batu biasa,2005157.0,,,Phanoperla astrospinata,Lalat-batu biasa,2005173.0,,,,,NE,
2005174,"Phanoperla nervosa Banks, 1939",2005174,"Phanoperla nervosa Banks, 1939",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Plecoptera,Lalat batu,787,,,,,Perlidae,Lalat-batu biasa,7223.0,,,,,,,,,Phanoperla,Lalat-batu biasa,2005157.0,,,Phanoperla nervosa,Lalat-batu biasa,2005174.0,,,,,NE,
2005176,"Phanoperla flabellare Stark & Sivec, 2007",2005176,"Phanoperla flabellare Stark & Sivec, 2007",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Plecoptera,Lalat batu,787,,,,,Perlidae,Lalat-batu biasa,7223.0,,,,,,,,,Phanoperla,Lalat-batu biasa,2005157.0,,,Phanoperla flabellare,Lalat-batu biasa,2005176.0,,,,,NE,
2005177,"Phanoperla pumilio (Klapálek, 1921)",2005177,"Phanoperla pumilio (Klapálek, 1921)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Plecoptera,Lalat batu,787,,,,,Perlidae,Lalat-batu biasa,7223.0,,,,,,,,,Phanoperla,Lalat-batu biasa,2005157.0,,,Phanoperla pumilio,Lalat-batu biasa,2005177.0,,,,,NE,
2005191,"Phanoperla belalong Stark & Sheldon, 2009",2005191,"Phanoperla belalong Stark & Sheldon, 2009",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Plecoptera,Lalat batu,787,,,,,Perlidae,Lalat-batu biasa,7223.0,,,,,,,,,Phanoperla,Lalat-batu biasa,2005157.0,,,Phanoperla belalong,Lalat-batu biasa,2005191.0,,,,,NE,
2005193,"Phanoperla tuberosa Stark & Sivec, 2007",2005193,"Phanoperla tuberosa Stark & Sivec, 2007",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Plecoptera,Lalat batu,787,,,,,Perlidae,Lalat-batu biasa,7223.0,,,,,,,,,Phanoperla,Lalat-batu biasa,2005157.0,,,Phanoperla tuberosa,Lalat-batu biasa,2005193.0,,,,,NE,
2005197,"Phanoperla flaveola (Klapálek, 1910)",2005197,"Phanoperla flaveola (Klapálek, 1910)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Plecoptera,Lalat batu,787,,,,,Perlidae,Lalat-batu biasa,7223.0,,,,,,,,,Phanoperla,Lalat-batu biasa,2005157.0,,,Phanoperla flaveola,Lalat-batu biasa,2005197.0,,,,,NE,
2005213,"Phanoperla anomala (Banks, 1939)",2005213,"Phanoperla anomala (Banks, 1939)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Plecoptera,Lalat batu,787,,,,,Perlidae,Lalat-batu biasa,7223.0,,,,,,,,,Phanoperla,Lalat-batu biasa,2005157.0,,,Phanoperla anomala,Lalat-batu biasa,2005213.0,,,,,NE,
2005834,"Neoperla divergens Zwick, 1986",2005834,"Neoperla divergens Zwick, 1986",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Plecoptera,Lalat batu,787,,,,,Perlidae,Lalat-batu biasa,7223.0,,,,,,,,,Neoperla,Lalat-batu tropis,2005820.0,,,Neoperla divergens,Lalat-batu tropis,2005834.0,,,,,NE,
2005840,"Neoperla darlingi Stark & Sivec, 2007",2005840,"Neoperla darlingi Stark & Sivec, 2007",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Plecoptera,Lalat batu,787,,,,,Perlidae,Lalat-batu biasa,7223.0,,,,,,,,,Neoperla,Lalat-batu tropis,2005820.0,,,Neoperla darlingi,Lalat-batu tropis,2005840.0,,,,,NE,
2005850,"Neoperla theobromae Zwick, 1986",2005850,"Neoperla theobromae Zwick, 1986",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Plecoptera,Lalat batu,787,,,,,Perlidae,Lalat-batu biasa,7223.0,,,,,,,,,Neoperla,Lalat-batu tropis,2005820.0,,,Neoperla theobromae,Lalat-batu tropis,2005850.0,,,,,NE,
2005891,"Neoperla securifera Zwick, 1986",2005891,"Neoperla securifera Zwick, 1986",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Plecoptera,Lalat batu,787,,,,,Perlidae,Lalat-batu biasa,7223.0,,,,,,,,,Neoperla,Lalat-batu tropis,2005820.0,,,Neoperla securifera,Lalat-batu tropis,2005891.0,,,,,NE,
2005933,"Neoperla peterzwicki Stark & Sivec, 2008",2005933,"Neoperla peterzwicki Stark & Sivec, 2008",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Plecoptera,Lalat batu,787,,,,,Perlidae,Lalat-batu biasa,7223.0,,,,,,,,,Neoperla,Lalat-batu tropis,2005820.0,,,Neoperla peterzwicki,Lalat-batu tropis,2005933.0,,,,,NE,
2005954,"Neoperla aliqua Zwick, 1973",2005954,"Neoperla aliqua Zwick, 1973",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Plecoptera,Lalat batu,787,,,,,Perlidae,Lalat-batu biasa,7223.0,,,,,,,,,Neoperla,Neoperla aliqua,2005820.0,,,Neoperla aliqua,Lalat-batu-tropis sumatra,2005954.0,,,,,NE,
2005974,"Neoperla grafei Stark & Sheldon, 2009",2005974,"Neoperla grafei Stark & Sheldon, 2009",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Plecoptera,Lalat batu,787,,,,,Perlidae,Lalat-batu biasa,7223.0,,,,,,,,,Neoperla,Lalat-batu tropis,2005820.0,,,Neoperla grafei,Lalat-batu tropis,2005974.0,,,,,NE,
2005976,"Neoperla edmundsi Stark, 1983",2005976,"Neoperla edmundsi Stark, 1983",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Plecoptera,Lalat batu,787,,,,,Perlidae,Lalat-batu biasa,7223.0,,,,,,,,,Neoperla,Lalat-batu tropis,2005820.0,,,Neoperla edmundsi,Lalat-batu tropis,2005976.0,,,,,NE,
