taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,taxonRank,taxonomicStatus,domain,cnamedomain,superkingdom,cnamesuperkingdom,kingdom,cnameKingdom,kingdomKey,subkingdom,cnamesubkingdom,superphylum,cnamesuperphylum,phylum,cnamePhylum,phylumKey,subphylum,cnmaesubphylum,superclass,cnamesuperclass,class,cnameClass,classKey,subclass,cnamesubclass,superorder,cnamesuperorder,order,cnameOrder,orderKey,suborder,cnamesuborder,superfamily,cnamesuperfamily,family,cnamaefamily,familyKey,subfamily,cnamesubfamily,supertribe,cnamesupertribe,tribe,cnametribe,subtribe,cnamesubtribe,genus,cnameGenus,genusKey,subgenus,cnamesubgenus,species,cnameSpecies,speciesKey,subspecies,cnmaesubspecies,variety,cnamevariety,iucnRedListCategory,statuskepunahan
1679496,"Scelimena dentiumeris (Hancock, 1907)",1679496,"Scelimena dentiumeris (Hancock, 1907)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan beruas,54,,,,,Insecta,Serangga,216,,,,,Orthoptera,Belalang,1458,,,,,Tetrigidae,Belalang kerdil,3040.0,,,,,,,,,Scelimena,Belalang-setan kerdil,1679491.0,,,Scelimena dentiumeris,Belalang-iblis kalimantan,1679496.0,,,,,NE,
1679508,"Scelimena celebica (Bolívar, 1887)",1679508,"Scelimena celebica (Bolívar, 1887)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan beruas,54,,,,,Insecta,Serangga,216,,,,,Orthoptera,Belalang,1458,,,,,Tetrigidae,Belalang kerdil,3040.0,,,,,,,,,Scelimena,Belalang-setan kerdil,1679491.0,,,Scelimena celebica,Belalang-iblis sulawesi,1679508.0,,,,,NE,
7043887,Scelimena producta producta,7043887,Scelimena producta producta,SUBSPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan beruas,54,,,,,Insecta,Serangga,216,,,,,Orthoptera,Belalang,1458,,,,,Tetrigidae,Belalang kerdil,3040.0,,,,,,,,,Scelimena,Belalang-setan kerdil,1679491.0,,,Scelimena producta,Belalang-iblis sukabumi,1679514.0,,,,,,
1679514,"Scelimena producta (Serville, 1838)",1679514,"Scelimena producta (Serville, 1838)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan beruas,54,,,,,Insecta,Serangga,216,,,,,Orthoptera,Belalang,1458,,,,,Tetrigidae,Belalang kerdil,3040.0,,,,,,,,,Scelimena,Belalang-setan kerdil,1679491.0,,,Scelimena producta,Belalang-iblis sukabumi,1679514.0,,,,,NE,
1680157,"Scelimena hexodon (Haan, 1843)",1680157,"Scelimena hexodon (Haan, 1843)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan beruas,54,,,,,Insecta,Serangga,216,,,,,Orthoptera,Belalang,1458,,,,,Tetrigidae,Belalang kerdil,3040.0,,,,,,,,,Scelimena,Belalang-setan kerdil,1679491.0,,,Scelimena hexodon,Belalang-iblis sabah,1680157.0,,,,,NE,
1681415,"Scelimena novaeguineae (Bolívar, 1898)",1681415,"Scelimena novaeguineae (Bolívar, 1898)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan beruas,54,,,,,Insecta,Serangga,216,,,,,Orthoptera,Belalang,1458,,,,,Tetrigidae,Belalang kerdil,3040.0,,,,,,,,,Scelimena,Belalang-setan kerdil,1679491.0,,,Scelimena novaeguineae,Belalang-iblis papua,1681415.0,,,,,NE,
10313250,"Scelimena gombakensis Muhammad, Tan & Skejo, 2018",10313250,"Scelimena gombakensis Muhammad, Tan & Skejo, 2018",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan beruas,54,,,,,Insecta,Serangga,216,,,,,Orthoptera,Belalang,1458,,,,,Tetrigidae,Belalang kerdil,3040.0,,,,,,,,,Scelimena,Belalang-setan kerdil,1679491.0,,,Scelimena gombakensis,Belalang-iblis gombak,10313250.0,,,,,NE,
1679536,"Cladonotella interrupta (Bolívar, 1898)",1679536,"Cladonotella interrupta (Bolívar, 1898)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan beruas,54,,,,,Insecta,Serangga,216,,,,,Orthoptera,Belalang,1458,,,,,Tetrigidae,Belalang kerdil,3040.0,,,,,,,,,Cladonotella,Belalang-setan kerdil,1679533.0,,,Cladonotella interrupta,Belalang-iblis pengganggu,1679536.0,,,,,NE,
1679540,"Cladonotella gibbosa (Haan, 1843)",1679540,"Cladonotella gibbosa (Haan, 1843)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan beruas,54,,,,,Insecta,Serangga,216,,,,,Orthoptera,Belalang,1458,,,,,Tetrigidae,Belalang kerdil,3040.0,,,,,,,,,Cladonotella,Belalang-setan kerdil,1679533.0,,,Cladonotella gibbosa,Belalang-iblis bungkuk,1679540.0,,,,,NE,
1679555,"Discotettix belzebuth (Serville, 1838)",1679555,"Discotettix belzebuth (Serville, 1838)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan beruas,54,,,,,Insecta,Serangga,216,,,,,Orthoptera,Belalang,1458,,,,,Tetrigidae,Belalang kerdil,3040.0,,,,,,,,,Discotettix,Belalang-setan kerdil,1679552.0,,,Discotettix belzebuth,Belalang-iblis raja,1679555.0,,,,,NE,
1679560,"Discotettix selysi Bolívar, 1887",1679560,"Discotettix selysi Bolívar, 1887",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan beruas,54,,,,,Insecta,Serangga,216,,,,,Orthoptera,Belalang,1458,,,,,Tetrigidae,Belalang kerdil,3040.0,,,,,,,,,Discotettix,Belalang-setan kerdil,1679552.0,,,Discotettix selysi,Belalang-iblis sumatera,1679560.0,,,,,NE,
12244376,"Discotettix kirscheyi Skejo, Pushkar, Tumbrinck & Tan, 2022",12244376,"Discotettix kirscheyi Skejo, Pushkar, Tumbrinck & Tan, 2022",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan beruas,54,,,,,Insecta,Serangga,216,,,,,Orthoptera,Belalang,1458,,,,,Tetrigidae,Belalang kerdil,3040.0,,,,,,,,,Discotettix,Belalang-setan kerdil,1679552.0,,,Discotettix kirscheyi,Belalang-iblis berduri,12244376.0,,,,,NE,
1679575,"Euparatettix scabripes (Bolívar, 1898)",1679575,"Euparatettix scabripes (Bolívar, 1898)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan beruas,54,,,,,Insecta,Serangga,216,,,,,Orthoptera,Belalang,1458,,,,,Tetrigidae,Belalang kerdil,3040.0,,,,,,,,,Euparatettix,Belalang-kerdil,1679571.0,,,Euparatettix scabripes,Belalang kerdil,1679575.0,,,,,NE,
10389052,BOLD:AAY3380,10389052,BOLD:AAY3380,SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan beruas,54,,,,,Insecta,Serangga,216,,,,,Orthoptera,Belalang,1458,,,,,Tetrigidae,Belalang kerdil,3040.0,,,,,,,,,Euparatettix,Belalang-kerdil,1679571.0,,,Euparatettix nigritibis,Belalang kerdil,1679608.0,,,,,,
1679621,"Euparatettix tricarinatus (Bolívar, 1887)",1679621,"Euparatettix tricarinatus (Bolívar, 1887)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan beruas,54,,,,,Insecta,Serangga,216,,,,,Orthoptera,Belalang,1458,,,,,Tetrigidae,Belalang kerdil,3040.0,,,,,,,,,Euparatettix,Belalang-kerdil,1679571.0,,,Euparatettix tricarinatus,Belalang kerdil,1679621.0,,,,,NE,
1679638,"Euparatettix personatus (Bolívar, 1887)",1679638,"Euparatettix personatus (Bolívar, 1887)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan beruas,54,,,,,Insecta,Serangga,216,,,,,Orthoptera,Belalang,1458,,,,,Tetrigidae,Belalang kerdil,3040.0,,,,,,,,,Euparatettix,Belalang-kerdil,1679571.0,,,Euparatettix personatus,Belalang kerdil,1679638.0,,,,,NE,
7785248,"Euparatettix nodulosus Hancock, 1912",7785248,"Euparatettix nodulosus Hancock, 1912",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan beruas,54,,,,,Insecta,Serangga,216,,,,,Orthoptera,Belalang,1458,,,,,Tetrigidae,Belalang kerdil,3040.0,,,,,,,,,Euparatettix,Belalang-kerdil,1679571.0,,,Euparatettix nodulosus,Belalang kerdil,7785248.0,,,,,NE,
