taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,taxonRank,taxonomicStatus,domain,cnamedomain,superkingdom,cnamesuperkingdom,kingdom,cnameKingdom,kingdomKey,subkingdom,cnamesubkingdom,superphylum,cnamesuperphylum,phylum,cnamePhylum,phylumKey,subphylum,cnmaesubphylum,superclass,cnamesuperclass,class,cnameClass,classKey,subclass,cnamesubclass,superorder,cnamesuperorder,order,cnameOrder,orderKey,suborder,cnamesuborder,superfamily,cnamesuperfamily,family,cnameFamily,familyKey,subfamily,cnamesubfamily,supertribe,cnamesupertribe,tribe,cnametribe,subtribe,cnamesubtribe,genus,cnameGenus,genusKey,subgenus,cnamesubgenus,species,cnameSpecies,speciesKey,subspecies,cnmaesubspecies,variety,cnamevariety,iucnRedListCategory,statuskepunahan
1412688,"Platycrana viridana (Olivier, 1792)",1412688,"Platycrana viridana (Olivier, 1792)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan beruas,54,,,,,Insecta,Serangga,216,,,,,Phasmida,Serangga-tongkat,1460,,,,,Phasmatidae,Serangga-tongkat sejati,5108,,,,,,,,,Platycrana,Serangga-tongkat Platycrana,1410195.0,,,Platycrana viridana,Serangga-tongkat viridana,1412688.0,,,,,NE,
1413943,"Ramulus angustior (Brunner von Wattenwyl, 1907)",1413943,"Ramulus angustior (Brunner von Wattenwyl, 1907)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan beruas,54,,,,,Insecta,Serangga,216,,,,,Phasmida,Serangga-tongkat,1460,,,,,Phasmatidae,Serangga-tongkat sejati,5108,,,,,,,,,Ramulus,Serangga-tongkat Ramulus,1410478.0,,,Ramulus angustior,Serangga-tongkat angustior,1413943.0,,,,,NE,
1414133,"Ramulus caii (Brock & Seow-Choen, 2000)",1414133,"Ramulus caii (Brock & Seow-Choen, 2000)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan beruas,54,,,,,Insecta,Serangga,216,,,,,Phasmida,Serangga-tongkat,1460,,,,,Phasmatidae,Serangga-tongkat sejati,5108,,,,,,,,,Ramulus,Serangga-tongkat Ramulus,1410478.0,,,Ramulus caii,Serangga-tongkat caii,1414133.0,,,,,NE,
1414197,"Ramulus nematodes (de Haan, 1842)",1414197,"Ramulus nematodes (de Haan, 1842)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan beruas,54,,,,,Insecta,Serangga,216,,,,,Phasmida,Serangga-tongkat,1460,,,,,Phasmatidae,Serangga-tongkat sejati,5108,,,,,,,,,Ramulus,Serangga-tongkat Ramulus,1410478.0,,,Ramulus nematodes,Serangga-kerempeng besar,1414197.0,,,,,NE,
1414293,"Ramulus serrulatus (Brunner von Wattenwyl, 1907)",1414293,"Ramulus serrulatus (Brunner von Wattenwyl, 1907)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan beruas,54,,,,,Insecta,Serangga,216,,,,,Phasmida,Serangga-tongkat,1460,,,,,Phasmatidae,Serangga-tongkat sejati,5108,,,,,,,,,Ramulus,Serangga-tongkat Ramulus,1410478.0,,,Ramulus serrulatus,Serangga-tongkat serrulatus,1414293.0,,,,,NE,
12211914,"Ramulus togianense Hennemann, 2021",12211914,"Ramulus togianense Hennemann, 2021",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan beruas,54,,,,,Insecta,Serangga,216,,,,,Phasmida,Serangga-tongkat,1460,,,,,Phasmatidae,Serangga-tongkat sejati,5108,,,,,,,,,Ramulus,Serangga-tongkat Ramulus,1410478.0,,,Ramulus togianense,Serangga-tongkat togianense,12211914.0,,,,,NE,
12215293,"Ramulus pelengense Hennemann, Le Tirant & Purwanto, 2021",12215293,"Ramulus pelengense Hennemann, Le Tirant & Purwanto, 2021",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan beruas,54,,,,,Insecta,Serangga,216,,,,,Phasmida,Serangga-tongkat,1460,,,,,Phasmatidae,Serangga-tongkat sejati,5108,,,,,,,,,Ramulus,Serangga-tongkat Ramulus,1410478.0,,,Ramulus pelengense,Serangga-tongkat pelengense,12215293.0,,,,,NE,
5049820,"Phasma reinwardtii de Haan, 1842",5049820,"Phasma reinwardtii de Haan, 1842",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan beruas,54,,,,,Insecta,Serangga,216,,,,,Phasmida,Serangga-tongkat,1460,,,,,Phasmatidae,Serangga-tongkat sejati,5108,,,,,,,,,Phasma,Serangga-tongkat Phasma,1411210.0,,,Phasma reinwardtii,Serangga-tongkat reinwardtii,5049820.0,,,,,NE,
5049821,"Phasma gigas (Linnaeus, 1758)",5049821,"Phasma gigas (Linnaeus, 1758)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan beruas,54,,,,,Insecta,Serangga,216,,,,,Phasmida,Serangga-tongkat,1460,,,,,Phasmatidae,Serangga-tongkat sejati,5108,,,,,,,,,Phasma,Serangga-tongkat Phasma,1411210.0,,,Phasma gigas,Serangga-tongkat gergasi sunda,5049821.0,,,,,NE,
1412863,"Pharnacia borneensis Hennemann & Conle, 2008",1412863,"Pharnacia borneensis Hennemann & Conle, 2008",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan beruas,54,,,,,Insecta,Serangga,216,,,,,Phasmida,Serangga-tongkat,1460,,,,,Phasmatidae,Serangga-tongkat sejati,5108,,,,,,,,,Pharnacia,Serangga-tongkat Pharnacia,1411630.0,,,Pharnacia borneensis,Serangga-tongkat borneensis,1412863.0,,,,,NE,
