taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,taxonRank,taxonomicStatus,domain,cnamedomain,superkingdom,cnamesuperkingdom,kingdom,cnameKindom,kingdomKey,subkingdom,cnamesubkingdom,superphylum,cnamesuperphylum,phylum,cnamePhylum,phylumKey,subphylum,cnmaesubphylum,superclass,cnamesuperclass,class,cnameClass,classKey,subclass,cnamesubclass,superorder,cnamesuperorder,order,cnameOrder,orderKey,suborder,cnamesuborder,superfamily,cnamesuperfamily,family,cnameFamily,familyKey,subfamily,cnamesubfamily,supertribe,cnamesupertribe,tribe,cnametribe,subtribe,cnamesubtribe,genus,cnameGenus,genusKey,subgenus,cnamesubgenus,species,cnameSpecies,speciesKey,subspecies,cnmaesubspecies,variety,cnamevariety,iucnRedListCategory,statuskepunahan
4857883,"Yorkeria parva Southwell, 1927",4857883,"Yorkeria parva Southwell, 1927",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Lophotrochozoa,Mahkota tentakel-silia,Platyhelminthes,Cacing pipih,108,Rhabditophora,,Neodermata ,,Cestoda,Cacing pita,144.0,Eucestoda ,,,,Tetraphyllidea,Cacing pita,776.0,,,,,Balanobothriidae,Cacing pita,4282340.0,,,,,,,,,Yorkeria,Cacing pita,4344947.0,,,Yorkeria parva,Cacing pita,4857883.0,,,,,NE,
6482244,"Yorkeria pusillulus Caira, Jensen & Rajan, 2007",6482244,"Yorkeria pusillulus Caira, Jensen & Rajan, 2007",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Lophotrochozoa,Mahkota tentakel-silia,Platyhelminthes,Cacing pipih,108,Rhabditophora,,Neodermata ,,Cestoda,Cacing pita,144.0,Eucestoda ,,,,Tetraphyllidea,Cacing pita,776.0,,,,,Balanobothriidae,Cacing pita,4282340.0,,,,,,,,,Yorkeria,Cacing pita,4344947.0,,,Yorkeria pusillulus,Cacing pita,6482244.0,,,,,NE,
6482245,"Yorkeria teeveeyi Caira, Jensen & Rajan, 2007",6482245,"Yorkeria teeveeyi Caira, Jensen & Rajan, 2007",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Lophotrochozoa,Mahkota tentakel-silia,Platyhelminthes,Cacing pipih,108,Rhabditophora,,Neodermata ,,Cestoda,Cacing pita,144.0,Eucestoda ,,,,Tetraphyllidea,Cacing pita,776.0,,,,,Balanobothriidae,Cacing pita,4282340.0,,,,,,,,,Yorkeria,Cacing pita,4344947.0,,,Yorkeria teeveeyi,Cacing pita,6482245.0,,,,,NE,
6482248,"Yorkeria saliputium Caira, Jensen & Rajan, 2007",6482248,"Yorkeria saliputium Caira, Jensen & Rajan, 2007",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Lophotrochozoa,Mahkota tentakel-silia,Platyhelminthes,Cacing pipih,108,Rhabditophora,,Neodermata ,,Cestoda,Cacing pita,144.0,Eucestoda ,,,,Tetraphyllidea,Cacing pita,776.0,,,,,Balanobothriidae,Cacing pita,4282340.0,,,,,,,,,Yorkeria,Cacing pita,4344947.0,,,Yorkeria saliputium,Cacing pita,6482248.0,,,,,NE,
6482249,"Yorkeria yubodohensis Caira, Jensen & Rajan, 2007",6482249,"Yorkeria yubodohensis Caira, Jensen & Rajan, 2007",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Lophotrochozoa,Mahkota tentakel-silia,Platyhelminthes,Cacing pipih,108,Rhabditophora,,Neodermata ,,Cestoda,Cacing pita,144.0,Eucestoda ,,,,Tetraphyllidea,Cacing pita,776.0,,,,,Balanobothriidae,Cacing pita,4282340.0,,,,,,,,,Yorkeria,Cacing pita,4344947.0,,,Yorkeria yubodohensis,Cacing pita,6482249.0,,,,,NE,
6482251,"Yorkeria garneri Caira, Jensen & Rajan, 2007",6482251,"Yorkeria garneri Caira, Jensen & Rajan, 2007",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Lophotrochozoa,Mahkota tentakel-silia,Platyhelminthes,Cacing pipih,108,Rhabditophora,,Neodermata ,,Cestoda,Cacing pita,144.0,Eucestoda ,,,,Tetraphyllidea,Cacing pita,776.0,,,,,Balanobothriidae,Cacing pita,4282340.0,,,,,,,,,Yorkeria,Cacing pita,4344947.0,,,Yorkeria garneri,Cacing pita,6482251.0,,,,,NE,
7721605,"Spiniloculus calhouni Desjardins & Caira, 2011",7721605,"Spiniloculus calhouni Desjardins & Caira, 2011",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Lophotrochozoa,Mahkota tentakel-silia,Platyhelminthes,Cacing pipih,108,Rhabditophora,,Neodermata ,,Cestoda,Cacing pita,144.0,Eucestoda ,,,,Tetraphyllidea,Cacing pita,776.0,,,,,Balanobothriidae,Cacing pita,4282340.0,,,,,,,,,Spiniloculus,Cacing pita,4857923.0,,,Spiniloculus calhouni,Cacing pita,7721605.0,,,,,NE,
8294337,"Spiniloculus fylerae Desjardins & Caira, 2011",8294337,"Spiniloculus fylerae Desjardins & Caira, 2011",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Lophotrochozoa,Mahkota tentakel-silia,Platyhelminthes,Cacing pipih,108,Rhabditophora,,Neodermata ,,Cestoda,Cacing pita,144.0,Eucestoda ,,,,Tetraphyllidea,Cacing pita,776.0,,,,,Balanobothriidae,Cacing pita,4282340.0,,,,,,,,,Spiniloculus,Cacing pita,4857923.0,,,Spiniloculus fylerae,Cacing pita,8294337.0,,,,,NE,
9581186,"Spiniloculus paigeae Desjardins & Caira, 2011",9581186,"Spiniloculus paigeae Desjardins & Caira, 2011",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Lophotrochozoa,Mahkota tentakel-silia,Platyhelminthes,Cacing pipih,108,Rhabditophora,,Neodermata ,,Cestoda,Cacing pita,144.0,Eucestoda ,,,,Tetraphyllidea,Cacing pita,776.0,,,,,Balanobothriidae,Cacing pita,4282340.0,,,,,,,,,Spiniloculus,Cacing pita,4857923.0,,,Spiniloculus paigeae,Cacing pita,9581186.0,,,,,NE,
4344778,"Scolex pleuronectis Müller, 1788",4344778,"Scolex pleuronectis Müller, 1788",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Lophotrochozoa,Mahkota tentakel-silia,Platyhelminthes,Cacing pipih,108,Rhabditophora,,Neodermata ,,Cestoda,Cacing pita,144.0,Eucestoda ,,,,Tetraphyllidea,Cacing pita,776.0,,,,,Tetraphyllidae,Cacing pita,,,,,,,,,,Scolex,Cacing pita,3268436.0,,,Scolex pleuronectis,Cacing pita,4344778.0,,,,,NE,
