taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,taxonRank,taxonomicStatus,domain,cnamedomain,superkingdom,cnamesuperkingdom,kingdom,cnameKindom,kingdomKey,subkingdom,cnamesubkingdom,superphylum,cnamesuperphylum,phylum,cnamePhylum,phylumKey,subphylum,cnmaesubphylum,superclass,cnamesuperclass,class,cnameClass,classKey,subclass,cnamesubclass,superorder,cnamesuperorder,order,cnameOrder,orderKey,suborder,cnamesuborder,superfamily,cnamesuperfamily,family,cnameFamily,familyKey,subfamily,cnamesubfamily,supertribe,cnamesupertribe,tribe,cnametribe,subtribe,cnamesubtribe,genus,cnameGenus,genusKey,subgenus,cnamesubgenus,species,cnameSpecies,speciesKey,subspecies,cnmaesubspecies,variety,cnamevariety,iucnRedListCategory,statuskepunahan
3532,Hemerobiidae,3532,Hemerobiidae,FAMILY,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Neuroptera,Sayap jaring,1501,,,,,Hemerobiidae,Sayap-jaring cokelat,3532.0,,,,,,,,,,,,,,,,,,,,,NE,
2110214,"Dilar macleodi Oswald & Schiff, 2001",2110214,"Dilar macleodi Oswald & Schiff, 2001",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Neuroptera,Sayap jaring,1501,,,,,Dilaridae,Sayap-jaring riang,5203.0,,,,,,,,,Dilar,Sayap-jaring riang,2110138.0,,,Dilar macleodi,Sayap-jaring riang,2110214.0,,,,,NE,
2109076,"Heteroconis fusca Meinander, 1972",2109076,"Heteroconis fusca Meinander, 1972",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Neuroptera,Sayap jaring,1501,,,,,Coniopterygidae,Sayap-jaring debu,5204.0,,,,,,,,,Heteroconis,Sayap-jaring debu-totol,2109034.0,,,Heteroconis fusca,Sayap-jaring debu-totol,2109076.0,,,,,NE,
5204,Coniopterygidae,5204,Coniopterygidae,FAMILY,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Neuroptera,Sayap jaring,1501,,,,,Coniopterygidae,Sayap-jaring debu,5204.0,,,,,,,,,,,,,,,,,,,,,,
2107704,"Mantispa moluccensis Banks, 1913",2107704,"Mantispa moluccensis Banks, 1913",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Neuroptera,Sayap jaring,1501,,,,,Mantispidae,Sayap-jaring sentadu,5470.0,,,,,,,,,Mantispa,Sayap-jaring sentadu,2007011.0,,,Mantispa moluccensis,Sayap-jaring sentadu,2107704.0,,,,,NE,
2107558,"Mimetispa simulatrix (McLachlan, 1900)",2107558,"Mimetispa simulatrix (McLachlan, 1900)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Neuroptera,Sayap jaring,1501,,,,,Mantispidae,Sayap-jaring sentadu,5470.0,,,,,,,,,Mimetispa,Sayap-jaring sentadu,2107557.0,,,Mimetispa simulatrix,Sayap-jaring-sentadu singapura,2107558.0,,,,,NE,
5165483,"Euclimacia gerstaeckeri Banks, 1920",5165483,"Euclimacia gerstaeckeri Banks, 1920",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Neuroptera,Sayap jaring,1501,,,,,Mantispidae,Sayap-jaring sentadu,5470.0,,,,,,,,,Euclimacia,Sayap-jaring tawon,2107563.0,,,Euclimacia gerstaeckeri,Sayap-jaring-tawon hitam-kuning,5165483.0,,,,,NE,
5165504,"Euclimacia flavocincta Stitz, 1913",5165504,"Euclimacia flavocincta Stitz, 1913",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Neuroptera,Sayap jaring,1501,,,,,Mantispidae,Sayap-jaring sentadu,5470.0,,,,,,,,,Euclimacia,Sayap-jaring tawon,2107563.0,,,Euclimacia flavocincta,Sayap-jaring tawon,5165504.0,,,,,NE,
2107629,"Asperala erythraea (Brauer, 1867)",2107629,"Asperala erythraea (Brauer, 1867)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Neuroptera,Sayap jaring,1501,,,,,Mantispidae,Sayap-jaring sentadu,5470.0,,,,,,,,,Asperala,Sayap-jaring sentadu-garis,2107628.0,,,Asperala erythraea,Sayap-jaring sentadu-garis,2107629.0,,,,,NE,
2108157,"Stenomantispa ilsae (Stitz, 1913)",2108157,"Stenomantispa ilsae (Stitz, 1913)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Neuroptera,Sayap jaring,1501,,,,,Mantispidae,Sayap-jaring sentadu,5470.0,,,,,,,,,Stenomantispa,Sayap-jaring sentadu-garis,2108156.0,,,Stenomantispa ilsae,Sayap-jaring sentadu-garis-papua,2108157.0,,,,,NE,
2097324,"Xantholeon helmsi Tillyard, 1916",2097324,"Xantholeon helmsi Tillyard, 1916",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Neuroptera,Sayap jaring,1501,,,,,Myrmeleontidae,Undur-undur,5471.0,,,,,,,,,Xantholeon,Undur-undur,2097322.0,,,Xantholeon helmsi,Undur-undur australia,2097324.0,,,,,NE,
2097688,"Phanoleon bicostatus Banks, 1931",2097688,"Phanoleon bicostatus Banks, 1931",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Neuroptera,Sayap jaring,1501,,,,,Myrmeleontidae,Undur-undur,5471.0,,,,,,,,,Phanoleon,Undur-undur,2097687.0,,,Phanoleon bicostatus,Undur-undur malaya,2097688.0,,,,,NE,
2099144,"Heoclisis louiseae Banks, 1938",2099144,"Heoclisis louiseae Banks, 1938",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Neuroptera,Sayap jaring,1501,,,,,Myrmeleontidae,Undur-undur,5471.0,,,,,,,,,Heoclisis,Undur-undur,2099131.0,,,Heoclisis louiseae,Undur-undur malaya,2099144.0,,,,,NE,
2099147,"Heoclisis fundata (Walker, 1853)",2099147,"Heoclisis fundata (Walker, 1853)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Neuroptera,Sayap jaring,1501,,,,,Myrmeleontidae,Undur-undur,5471.0,,,,,,,,,Heoclisis,Undur-undur,2099131.0,,,Heoclisis fundata,Undur-undur australia,2099147.0,,,,,NE,
2099237,"Layahima Navás, 1912",2099237,"Layahima Navás, 1912",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Neuroptera,Sayap jaring,1501,,,,,Myrmeleontidae,Undur-undur,5471.0,,,,,,,,,Layahima,Undur-undur,2099237.0,,,,,,,,,,,
2100626,"Myrmeleon pictifrons Gerstaecker, 1885",2100626,"Myrmeleon pictifrons Gerstaecker, 1885",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Neuroptera,Sayap jaring,1501,,,,,Myrmeleontidae,Undur-undur,5471.0,,,,,,,,,Myrmeleon,Undur-undur,2100347.0,,,Myrmeleon pictifrons,Undur-undur australia,2100626.0,,,,,NE,
2100347,"Myrmeleon Linnaeus, 1767",2100347,"Myrmeleon Linnaeus, 1767",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Neuroptera,Sayap jaring,1501,,,,,Myrmeleontidae,Undur-undur,5471.0,,,,,,,,,Myrmeleon,Undur-undur,2100347.0,,,,,,,,,,,
2101251,"Bandidus Navás, 1914",2101251,"Bandidus Navás, 1914",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Neuroptera,Sayap jaring,1501,,,,,Myrmeleontidae,Undur-undur,5471.0,,,,,,,,,Bandidus,Undur-undur,2101251.0,,,,,,,,,,,
5471,Myrmeleontidae,5471,Myrmeleontidae,FAMILY,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Neuroptera,Sayap jaring,1501,,,,,Myrmeleontidae,Undur-undur,5471.0,,,,,,,,,,,,,,,,,,,,,,
2105902,"Chrysopa atrioris Banks, 1920",2105902,"Chrysopa atrioris Banks, 1920",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Neuroptera,Sayap jaring,1501,,,,,Chrysopidae,Sayap-jaring hijau,9265.0,,,,,,,,,Chrysopa,Sayap-jaring busuk,2101894.0,,,Chrysopa atrioris,Sayap-jaring busuk,2105902.0,,,,,NE,
2101894,"Chrysopa Leach, 1815",2101894,"Chrysopa Leach, 1815",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Neuroptera,Sayap jaring,1501,,,,,Chrysopidae,Sayap-jaring hijau,9265.0,,,,,,,,,Chrysopa,Sayap-jaring busuk,2101894.0,,,,,,,,,,,
2104285,"Ceraeochrysa Adams, 1982",2104285,"Ceraeochrysa Adams, 1982",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Neuroptera,Sayap jaring,1501,,,,,Chrysopidae,Sayap-jaring hijau,9265.0,,,,,,,,,Ceraeochrysa,Sayap-jaring hijau,2104285.0,,,,,,,,,,,
7721601,"Semachrysa jade Winterton et al., 2012",7721601,"Semachrysa jade Winterton et al., 2012",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Neuroptera,Sayap jaring,1501,,,,,Chrysopidae,Sayap-jaring hijau,9265.0,,,,,,,,,Semachrysa,Sayap-jaring hijau,2105127.0,,,Semachrysa jade,Sayap-jaring-hijau pucat,7721601.0,,,,,NE,
2105310,"Chrysoperla Steinmann, 1964",2105310,"Chrysoperla Steinmann, 1964",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Neuroptera,Sayap jaring,1501,,,,,Chrysopidae,Sayap-jaring hijau,9265.0,,,,,,,,,Chrysoperla,Sayap-jaring-hijau biasa,2105310.0,,,,,,,,,,NE,
2105674,"Apochrysa evanida Gerstaecker, 1894",2105674,"Apochrysa evanida Gerstaecker, 1894",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Neuroptera,Sayap jaring,1501,,,,,Chrysopidae,Sayap-jaring hijau,9265.0,,,,,,,,,Apochrysa,Sayap-jaring hijau,2105640.0,,,Apochrysa evanida,Sayap-jaring hijau,2105674.0,,,,,NE,
10416185,BOLD:AAX9355,10416185,BOLD:AAX9355,SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Neuroptera,Sayap jaring,1501,,,,,Chrysopidae,Sayap-jaring hijau,9265.0,,,,,,,,,Pseudomallada,Sayap-jaring hijau,2106360.0,,,Pseudomallada astur,Sayap-jaring hijau,2107179.0,,,,,,
9265,Chrysopidae,9265,Chrysopidae,FAMILY,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Neuroptera,Sayap jaring,1501,,,,,Chrysopidae,Sayap-jaring hijau,9265.0,,,,,,,,,,,,,,,,,,,,,NE,
11199330,"Berotha piepersii van der Weele, 1904",11199330,"Berotha piepersii van der Weele, 1904",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Neuroptera,Sayap jaring,1501,,,,,Berothidae,Sayap-jaring manik,9266.0,,,,,,,,,Berotha,Sayap-jaring manik-cokelat,2108623.0,,,Berotha piepersii,Sayap-jaring manik-cokelat,11199330.0,,,,,NE,
5165353,"Ascalaphus placidus (Gerstaecker, 1894)",5165353,"Ascalaphus placidus (Gerstaecker, 1894)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Neuroptera,Sayap jaring,1501,,,,,Ascalaphidae,Lalat pungguk,9267.0,,,,,,,,,Ascalaphus,Lalat pungguk,2100083.0,,,Ascalaphus placidus,Lalat-pungguk tambun,5165353.0,,,,,NE,
2103046,"Suhpalacsa dietrichiae (Brauer, 1869)",2103046,"Suhpalacsa dietrichiae (Brauer, 1869)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Neuroptera,Sayap jaring,1501,,,,,Ascalaphidae,Lalat pungguk,9267.0,,,,,,,,,Suhpalacsa,Lalat pungguk,2103019.0,,,Suhpalacsa dietrichiae,Lalat-pungguk awan,2103046.0,,,,,NE,
2103063,"Suhpalacsa flavipes (Leach, 1814)",2103063,"Suhpalacsa flavipes (Leach, 1814)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Neuroptera,Sayap jaring,1501,,,,,Ascalaphidae,Lalat pungguk,9267.0,,,,,,,,,Suhpalacsa,Lalat pungguk,2103019.0,,,Suhpalacsa flavipes,Lalat-pungguk kuning,2103063.0,,,,,NE,
9267,Ascalaphidae,9267,Ascalaphidae,FAMILY,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Neuroptera,Sayap jaring,1501,,,,,Ascalaphidae,Lalat pungguk,9267.0,,,,,,,,,,,,,,,,,,,,,,
8995476,"Gryposmylus pennyi Winterton & Y.-j.Wang, 2016",8995476,"Gryposmylus pennyi Winterton & Y.-j.Wang, 2016",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Neuroptera,Sayap jaring,1501,,,,,Osmylidae,Sayap-jaring jeram,9380.0,,,,,,,,,Gryposmylus,Sayap-jaring jeram,2109696.0,,,Gryposmylus pennyi,Sayap-jaring jeram,8995476.0,,,,,NE,
9380,Osmylidae,9380,Osmylidae,FAMILY,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Neuroptera,Sayap jaring,1501,,,,,Osmylidae,Sayap-jaring jeram,9380.0,,,,,,,,,,,,,,,,,,,,,,
1501,Neuroptera,1501,Neuroptera,ORDER,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Neuroptera,Sayap jaring,1501,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,
