taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,taxonRank,taxonomicStatus,domain,cnamedomain,superkingdom,cnamesuperkingdom,kingdom,cnameKindom,kingdomKey,subkingdom,cnamesubkingdom,superphylum,cnamesuperphylum,phylum,cnamePhylum,phylumKey,subphylum,cnmaesubphylum,superclass,cnamesuperclass,class,cnameClass,classKey,subclass,cnamesubclass,superorder,cnamesuperorder,order,cnameOrder,orderKey,suborder,cnamesuborder,superfamily,cnamesuperfamily,family,cnameFamily,familyKey,subfamily,cnamesubfamily,supertribe,cnamesupertribe,tribe,cnametribe,subtribe,cnamesubtribe,genus,cnameGenus,genusKey,subgenus,cnamesubgenus,species,cnameSpecies,speciesKey,subspecies,cnmaesubspecies,variety,cnamevariety,iucnRedListCategory,statuskepunahan
1032013,"Brueelia von Kéler, 1936",1032013,"Brueelia von Kéler, 1936",GENUS,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Ecdysozoa,Kurikula tiiga-lapis,Arthropoda,Hewan bernuku-buku,54,Hexapoda,,,,Insecta,Serangga,216,Pterygota,Serangga bersayap,,,Psocodea,Kutu batang,7612838,Troctomorpha,,Ischnocera,,Philopteridae,,2782.0,,,,,,,,,Brueelia,,1032013.0,,,,,,,,,,,
1032060,"Degeeriella Neumann, 1906",1032060,"Degeeriella Neumann, 1906",GENUS,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Ecdysozoa,Kurikula tiiga-lapis,Arthropoda,Hewan bernuku-buku,54,Hexapoda,,,,Insecta,Serangga,216,Pterygota,Serangga bersayap,,,Psocodea,Kutu batang,7612838,Troctomorpha,,Ischnocera,,Philopteridae,,2782.0,,,,,,,,,Degeeriella,,1032060.0,,,,,,,,,,,
1032069,"Columbicola columbae (Linnaeus, 1758)",1032069,"Columbicola columbae (Linnaeus, 1758)",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Ecdysozoa,Kurikula tiiga-lapis,Arthropoda,Hewan bernuku-buku,54,Hexapoda,,,,Insecta,Serangga,216,Pterygota,Serangga bersayap,,,Psocodea,Kutu batang,7612838,Troctomorpha,,Ischnocera,,Philopteridae,,2782.0,,,,,,,,,Columbicola,,1032068.0,,,Columbicola columbae,,1032069.0,,,,,NE,
1032079,"Saemundssonia Timmermann, 1936",1032079,"Saemundssonia Timmermann, 1936",GENUS,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Ecdysozoa,Kurikula tiiga-lapis,Arthropoda,Hewan bernuku-buku,54,Hexapoda,,,,Insecta,Serangga,216,Pterygota,Serangga bersayap,,,Psocodea,Kutu batang,7612838,Troctomorpha,,Ischnocera,,Philopteridae,,2782.0,,,,,,,,,Saemundssonia,,1032079.0,,,,,,,,,,,
1032155,"Sturnidoecus Eichler, 1944",1032155,"Sturnidoecus Eichler, 1944",GENUS,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Ecdysozoa,Kurikula tiiga-lapis,Arthropoda,Hewan bernuku-buku,54,Hexapoda,,,,Insecta,Serangga,216,Pterygota,Serangga bersayap,,,Psocodea,Kutu batang,7612838,Troctomorpha,,Ischnocera,,Philopteridae,,2782.0,,,,,,,,,Sturnidoecus,,1032155.0,,,,,,,,,,,
6938284,"Oxylipeurus unicolor (Piaget, 1880)",6938284,"Oxylipeurus unicolor (Piaget, 1880)",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Ecdysozoa,Kurikula tiiga-lapis,Arthropoda,Hewan bernuku-buku,54,Hexapoda,,,,Insecta,Serangga,216,Pterygota,Serangga bersayap,,,Psocodea,Kutu batang,7612838,Troctomorpha,,Ischnocera,,Philopteridae,,2782.0,,,,,,,,,Oxylipeurus,,1032208.0,,,Oxylipeurus unicolor,,6938284.0,,,,,NE,
6940054,"Alcedoffula ceycis Tendeiro, 1967",6940054,"Alcedoffula ceycis Tendeiro, 1967",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Ecdysozoa,Kurikula tiiga-lapis,Arthropoda,Hewan bernuku-buku,54,Hexapoda,,,,Insecta,Serangga,216,Pterygota,Serangga bersayap,,,Psocodea,Kutu batang,7612838,Troctomorpha,,Ischnocera,,Philopteridae,,2782.0,,,,,,,,,Alcedoffula,,8947457.0,,,Alcedoffula ceycis,,6940054.0,,,,,NE,
9349534,"Priceiella alliocephala Bush, 2017",9349534,"Priceiella alliocephala Bush, 2017",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Ecdysozoa,Kurikula tiiga-lapis,Arthropoda,Hewan bernuku-buku,54,Hexapoda,,,,Insecta,Serangga,216,Pterygota,Serangga bersayap,,,Psocodea,Kutu batang,7612838,Troctomorpha,,Ischnocera,,Philopteridae,,2782.0,,,,,,,,,Priceiella,,10436889.0,,,Priceiella alliocephala,,9349534.0,,,,,NE,
9673054,"Priceiella fuscicaena Gustafsson, Clayton & Bush, 2018",9673054,"Priceiella fuscicaena Gustafsson, Clayton & Bush, 2018",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Ecdysozoa,Kurikula tiiga-lapis,Arthropoda,Hewan bernuku-buku,54,Hexapoda,,,,Insecta,Serangga,216,Pterygota,Serangga bersayap,,,Psocodea,Kutu batang,7612838,Troctomorpha,,Ischnocera,,Philopteridae,,2782.0,,,,,,,,,Priceiella,,10436889.0,,,Priceiella fuscicaena,,9673054.0,,,,,NE,
9748008,"Priceiella orichalca Gustafsson, Clayton & Bush, 2018",9748008,"Priceiella orichalca Gustafsson, Clayton & Bush, 2018",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Ecdysozoa,Kurikula tiiga-lapis,Arthropoda,Hewan bernuku-buku,54,Hexapoda,,,,Insecta,Serangga,216,Pterygota,Serangga bersayap,,,Psocodea,Kutu batang,7612838,Troctomorpha,,Ischnocera,,Philopteridae,,2782.0,,,,,,,,,Priceiella,,10436889.0,,,Priceiella orichalca,,9748008.0,,,,,NE,
