taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,taxonRank,taxonomicStatus,domain,cnamedomain,superkingdom,cnamesuperkingdom,kingdom,cnameKindom,kingdomKey,subkingdom,cnamesubkingdom,superphylum,cnamesuperphylum,phylum,cnamePhylum,phylumKey,subphylum,cnmaesubphylum,superclass,cnamesuperclass,class,cnameClass,classKey,subclass,cnamesubclass,superorder,cnamesuperorder,order,cnameOrder,orderKey,suborder,cnamesuborder,superfamily,cnamesuperfamily,family,cnameFamily,familyKey,subfamily,cnamesubfamily,supertribe,cnamesupertribe,tribe,cnametribe,subtribe,cnamesubtribe,genus,cnameGenus,subgenus,cnamesubgenus,genusKey,species,cnameSpecies,speciesKey,subspecies,cnmaesubspecies,variety,cnamevariety,iucnRedListCategory,statuskepunahan
5188765,"Barentsia gracilis (M.Sars, 1835)",5188765,"Barentsia gracilis (M.Sars, 1835)",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Lophotrochozoa,Mahkota tentakel-silia,Entoprocta,,8173593,,,,,,,,,,,,Solitaria,,10672903,,,,,Barentsiidae,,1897,,,,,,,,,Barentsia,,,,2284690,Barentsia gracilis,,5188765.0,,,,,NE,
5188771,"Barentsia discreta (Busk, 1886)",5188771,"Barentsia discreta (Busk, 1886)",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Lophotrochozoa,Mahkota tentakel-silia,Entoprocta,,8173593,,,,,,,,,,,,Solitaria,,10672903,,,,,Barentsiidae,,1897,,,,,,,,,Barentsia,,,,2284690,Barentsia discreta,,5188771.0,,,,,NE,
5188778,"Barentsia geniculata Harmer, 1915",5188778,"Barentsia geniculata Harmer, 1915",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Lophotrochozoa,Mahkota tentakel-silia,Entoprocta,,8173593,,,,,,,,,,,,Solitaria,,10672903,,,,,Barentsiidae,,1897,,,,,,,,,Barentsia,,,,2284690,Barentsia geniculata,,5188778.0,,,,,NE,
5188781,"Barentsia laxa Kirkpatrick, 1890",5188781,"Barentsia laxa Kirkpatrick, 1890",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Lophotrochozoa,Mahkota tentakel-silia,Entoprocta,,8173593,,,,,,,,,,,,Solitaria,,10672903,,,,,Barentsiidae,,1897,,,,,,,,,Barentsia,,,,2284690,Barentsia laxa,,5188781.0,,,,,NE,
5188755,"Pedicellina compacta Harmer, 1915",5188755,"Pedicellina compacta Harmer, 1915",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Lophotrochozoa,Mahkota tentakel-silia,Entoprocta,,8173593,,,,,,,,,,,,Solitaria,,10672903,,,,,Pedicellinidae,,6203,,,,,,,,,Pedicellina,,,,2284665,Pedicellina compacta,,5188755.0,,,,,NE,
2284501,"Loxosoma troglodytes Harmer, 1915",2284501,"Loxosoma troglodytes Harmer, 1915",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Lophotrochozoa,Mahkota tentakel-silia,Entoprocta,,8173593,,,,,,,,,,,,Coloniales,,10711897,,,,,Loxosomatidae,,1895,,,,,,,,,Loxosoma,,,,2284493,Loxosoma troglodytes,,2284501.0,,,,,NE,
2284502,"Loxosoma cocciforme Harmer, 1915",2284502,"Loxosoma cocciforme Harmer, 1915",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Lophotrochozoa,Mahkota tentakel-silia,Entoprocta,,8173593,,,,,,,,,,,,Coloniales,,10711897,,,,,Loxosomatidae,,1895,,,,,,,,,Loxosoma,,,,2284493,Loxosoma cocciforme,,2284502.0,,,,,NE,
2284509,"Loxosoma loricatum Harmer, 1915",2284509,"Loxosoma loricatum Harmer, 1915",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Lophotrochozoa,Mahkota tentakel-silia,Entoprocta,,8173593,,,,,,,,,,,,Coloniales,,10711897,,,,,Loxosomatidae,,1895,,,,,,,,,Loxosoma,,,,2284493,Loxosoma loricatum,,2284509.0,,,,,NE,
2284521,"Loxosoma sluiteri Harmer, 1915",2284521,"Loxosoma sluiteri Harmer, 1915",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Lophotrochozoa,Mahkota tentakel-silia,Entoprocta,,8173593,,,,,,,,,,,,Coloniales,,10711897,,,,,Loxosomatidae,,1895,,,,,,,,,Loxosoma,,,,2284493,Loxosoma sluiteri,,2284521.0,,,,,NE,
2284493,"Loxosoma Keferstein, 1862",2284493,"Loxosoma Keferstein, 1862",GENUS,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Lophotrochozoa,Mahkota tentakel-silia,Entoprocta,,8173593,,,,,,,,,,,,Coloniales,,10711897,,,,,Loxosomatidae,,1895,,,,,,,,,Loxosoma,,,,2284493,,,,,,,,,
