taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,taxonRank,taxonomicStatus,domain,cnamedomain,superkingdom,cnamesuperkingdom,kingdom,cnameKingdom,kingdomKey,subkingdom,cnamesubkingdom,superphylum,cnamesuperphylum,phylum,cnamePhylum,phylumKey,subphylum,cnmaesubphylum,superclass,cnamesuperclass,class,cnameClass,classKey,subclass,cnamesubclass,superorder,cnamesuperorder,order,cnameOrder,orderKey,suborder,cnamesuborder,superfamily,cnamesuperfamily,family,cnameFamily,familyKey,subfamily,cnamesubfamily,supertribe,cnamesupertribe,tribe,cnametribe,subtribe,cnamesubtribe,genus,cnameGenus,genusKey,subgenus,cnamesubgenus,species,cnameSpecies,speciesKey,subspecies,cnmaesubspecies,variety,cnamevariety,iucnRedListCategory,statuskepunahan
2235347,"Branchinecta Verrill, 1869",2235347,"Branchinecta Verrill, 1869",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Branchiopoda,Kaki insang,281,,,,,Anostraca,Udang-peri,544.0,,,,,Branchinectidae,Udang-peri,3675.0,,,,,,,,,Branchinecta,Udang-peri,2235347.0,,,,,,,,,,NE,
2234689,"Bosmina Baird, 1845",2234689,"Bosmina Baird, 1845",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Branchiopoda,Kaki insang,281,,,,,Diplostraca,Kutu air,545.0,,,,,Bosminidae,Kutu air,3680.0,,,,,,,,,Bosmina,Kutu air,2234689.0,,,,,,,,,,,
2234956,"Chydorus Leach, 1816",2234956,"Chydorus Leach, 1816",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Branchiopoda,Kaki insang,281,,,,,Diplostraca,Kutu air,545.0,,,,,Chydoridae,Kutu air,7511.0,,,,,,,,,Chydorus,Kutu air,2234956.0,,,,,,,,,,,
7552533,"Alona freyi Idris & Fernando, 1981",7552533,"Alona freyi Idris & Fernando, 1981",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Branchiopoda,Kaki insang,281,,,,,Diplostraca,Kutu air,545.0,,,,,Chydoridae,Kutu air,7511.0,,,,,,,,,Alona,Kutu air,2234989.0,,,Alona freyi,Kutu air,7552533.0,,,,,NE,
2234686,"Cyclestheria hislopi (Baird, 1859)",2234686,"Cyclestheria hislopi (Baird, 1859)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Branchiopoda,Kaki insang,281,,,,,Diplostraca,Kutu air,545.0,,,,,Cyclestheriidae,Kutu air,7512.0,,,,,,,,,Cyclestheria,Kutu air,2234685.0,,,Cyclestheria hislopi,Udang-kerang danau,2234686.0,,,,,NE,
2234822,"Daphnia magna Straus, 1820",2234822,"Daphnia magna Straus, 1820",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Branchiopoda,Kaki insang,281,,,,,Diplostraca,Kutu air,545.0,,,,,Daphniidae,Kutu air,7513.0,,,,,,,,,Daphnia,Kutu air,2234785.0,,,Daphnia magna,Kutu air-besar,2234822.0,,,,,NE,
2234785,"Daphnia O.F.Müller, 1785",2234785,"Daphnia O.F.Müller, 1785",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Branchiopoda,Kaki insang,281,,,,,Diplostraca,Kutu air,545.0,,,,,Daphniidae,Kutu air,7513.0,,,,,,,,,Daphnia,Kutu air,2234785.0,,,,,,,,,,NE,
2234852,"Ceriodaphnia Dana, 1853",2234852,"Ceriodaphnia Dana, 1853",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Branchiopoda,Kaki insang,281,,,,,Diplostraca,Kutu air,545.0,,,,,Daphniidae,Kutu air,7513.0,,,,,,,,,Ceriodaphnia,Kutu air,2234852.0,,,,,,,,,,,
2234662,"Lynceus O.F.Müller, 1776",2234662,"Lynceus O.F.Müller, 1776",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Branchiopoda,Kaki insang,281,,,,,Diplostraca,Kutu air,545.0,,,,,Lynceidae,Kutu air,7640.0,,,,,,,,,Lynceus,Udang-kerang,2234662.0,,,,,,,,,,,
7433591,"Macrothrix malaysiensis Idris & Fernando, 1981",7433591,"Macrothrix malaysiensis Idris & Fernando, 1981",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Branchiopoda,Kaki insang,281,,,,,Diplostraca,Kutu air,545.0,,,,,Macrothricidae,Kutu air,7641.0,,,,,,,,,Macrothrix,Kutu air,2234575.0,,,Macrothrix malaysiensis,Kutu air,7433591.0,,,,,NE,
2234647,"Pleopis polyphemoides (Leuckart, 1859)",2234647,"Pleopis polyphemoides (Leuckart, 1859)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Branchiopoda,Kaki insang,281,,,,,Diplostraca,Kutu air,545.0,,,,,Podonidae,Kutu air,7642.0,,,,,,,,,Pleopis,Kutu air,2234646.0,,,Pleopis polyphemoides,Kutu air,2234647.0,,,,,NE,
2234655,"Podon intermedius Lilljeborg, 1853",2234655,"Podon intermedius Lilljeborg, 1853",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Branchiopoda,Kaki insang,281,,,,,Diplostraca,Kutu air,545.0,,,,,Podonidae,Kutu air,7642.0,,,,,,,,,Podon,Kutu air,2234652.0,,,Podon intermedius,Kutu air,2234655.0,,,,,NE,
2234652,"Podon Lilljeborg, 1853",2234652,"Podon Lilljeborg, 1853",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Branchiopoda,Kaki insang,281,,,,,Diplostraca,Kutu air,545.0,,,,,Podonidae,Kutu air,7642.0,,,,,,,,,Podon,Kutu air,2234652.0,,,,,,,,,,,
5179973,"Evadne nordmanni Loven, 1836",5179973,"Evadne nordmanni Loven, 1836",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Branchiopoda,Kaki insang,281,,,,,Diplostraca,Kutu air,545.0,,,,,Podonidae,Kutu air,7642.0,,,,,,,,,Evadne,Kutu air,2234656.0,,,Evadne nordmanni,Kutu air,5179973.0,,,,,NE,
5179974,"Evadne spinifera P.E.Müller, 1867",5179974,"Evadne spinifera P.E.Müller, 1867",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Branchiopoda,Kaki insang,281,,,,,Diplostraca,Kutu air,545.0,,,,,Podonidae,Kutu air,7642.0,,,,,,,,,Evadne,Kutu air,2234656.0,,,Evadne spinifera,Kutu air,5179974.0,,,,,NE,
2234660,"Pseudevadne tergestina Claus, 1877",2234660,"Pseudevadne tergestina Claus, 1877",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Branchiopoda,Kaki insang,281,,,,,Diplostraca,Kutu air,545.0,,,,,Podonidae,Kutu air,7642.0,,,,,,,,,Pseudevadne,Kutu air,2234659.0,,,Pseudevadne tergestina,Kutu air,2234660.0,,,,,NE,
2234729,"Penilia avirostris Dana, 1849",2234729,"Penilia avirostris Dana, 1849",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Branchiopoda,Kaki insang,281,,,,,Diplostraca,Kutu air,545.0,,,,,Sididae,Kutu air,7643.0,,,,,,,,,Penilia,Kutu air,2234728.0,,,Penilia avirostris,Kutu air,2234729.0,,,,,NE,
2234730,"Diaphanosoma Fischer, 1850",2234730,"Diaphanosoma Fischer, 1850",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Branchiopoda,Kaki insang,281,,,,,Diplostraca,Kutu air,545.0,,,,,Sididae,Kutu air,7643.0,,,,,,,,,Diaphanosoma,Kutu air,2234730.0,,,,,,,,,,,
2234756,"Moina Baird, 1850",2234756,"Moina Baird, 1850",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Branchiopoda,Kaki insang,281,,,,,Diplostraca,Kutu air,545.0,,,,,Moinidae,Kutu air,9713.0,,,,,,,,,Moina,Kutu air,2234756.0,,,,,,,,,,,
281,Branchiopoda,281,Branchiopoda,CLASS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Branchiopoda,Kaki insang,281,,,,,,Kutu air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,
