taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,taxonRank,taxonomicStatus,domain,cnamedomain,superkingdom,cnamesuperkingdom,kingdom,cnameKingdom,kingdomKey,subkingdom,cnamesubkingdom,superphylum,cnamesuperphylum,phylum,cnamePhylum,phylumKey,subphylum,cnmaesubphylum,superclass,cnamesuperclass,class,cnameClass,classKey,subclass,cnamesubclass,superorder,cnamesuperorder,order,cnameOrder,orderKey,suborder,cnamesuborder,superfamily,cnamesuperfamily,family,cnameFamily,familyKey,subfamily,cnamesubfamily,supertribe,cnamesupertribe,tribe,cnametribe,subtribe,cnamesubtribe,genus,cnameGenus,genusKey,subgenus,cnamesubgenus,species,cnameSpecies,speciesKey,subspecies,cnmaesubspecies,variety,cnamevariety,iucnRedListCategory,statuskepunahan
42,Annelida,42,Annelida,PHYLUM,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Lophotrochozoa,Mahkota tentakel-silia,Annelida,Cacing segmen,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,
255,Clitellata,255,Clitellata,CLASS,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Lophotrochozoa,Mahkota tentakel-silia,Annelida,Cacing segmen,42,,,,,Clitellata,Cacing-segmen kerah,255.0,Oligochaeta,Cacing tanah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,
471,Branchiobdellida,471,Branchiobdellida,ORDER,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Lophotrochozoa,Mahkota tentakel-silia,Annelida,Cacing segmen,42,,,,,Clitellata,Cacing-segmen kerah,255.0,Oligochaeta,Cacing tanah,,,Branchiobdellida,Cacing lobster-air-tawar,471.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2307496,"Cambarincola Ellis, 1912",2307496,"Cambarincola Ellis, 1912",GENUS,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Lophotrochozoa,Mahkota tentakel-silia,Annelida,Cacing segmen,42,,,,,Clitellata,Cacing-segmen kerah,255.0,Oligochaeta,Cacing tanah,,,Branchiobdellida,Cacing lobster-air-tawar,471.0,,,,,Branchiobdellidae,Cacing-segmen kerah,7296.0,,,,,,,,,Cambarincola,Cacing-segmen kerah,2307496.0,,,,,,,,,,,
2308707,"Haplotaxis Hoffmeister, 1843",2308707,"Haplotaxis Hoffmeister, 1843",GENUS,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Lophotrochozoa,Mahkota tentakel-silia,Annelida,Cacing segmen,42,,,,,Clitellata,Cacing-segmen kerah,255.0,Oligochaeta,Cacing tanah,,,Haplotaxida,Cacing tanah,472.0,,,,,Haplotaxidae,Cacing tanah,3568.0,,,,,,,,,Haplotaxis,Cacing tanah,2308707.0,,,,,,,,,,,
6964,Lumbriculidae,6964,Lumbriculidae,FAMILY,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Lophotrochozoa,Mahkota tentakel-silia,Annelida,Cacing segmen,42,,,,,Clitellata,Cacing-segmen kerah,255.0,Oligochaeta,Cacing tanah,,,Lumbriculida,Cacing tanah,473.0,,,,,Lumbriculidae,Cacing tanah,6964.0,,,,,,,,,,,,,,,,,,,,,,
2308018,"Lumbriculus Grube, 1844",2308018,"Lumbriculus Grube, 1844",GENUS,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Lophotrochozoa,Mahkota tentakel-silia,Annelida,Cacing segmen,42,,,,,Clitellata,Cacing-segmen kerah,255.0,Oligochaeta,Cacing tanah,,,Lumbriculida,Cacing tanah,473.0,,,,,Lumbriculidae,Cacing tanah,6964.0,,,,,,,,,Lumbriculus,Cacing hitam,2308018.0,,,,,,,,,,,
2308020,"Lumbriculus inconstans (Smith, 1895)",2308020,"Lumbriculus inconstans (Smith, 1895)",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Lophotrochozoa,Mahkota tentakel-silia,Annelida,Cacing segmen,42,,,,,Clitellata,Cacing-segmen kerah,255.0,Oligochaeta,Cacing tanah,,,Lumbriculida,Cacing tanah,473.0,,,,,Lumbriculidae,Cacing tanah,6964.0,,,,,,,,,Lumbriculus,Cacing hitam,2308018.0,,,Lumbriculus inconstans,Cacing hitam,2308020.0,,,,,NE,
1077,Arhynchobdellida,1077,Arhynchobdellida,ORDER,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Lophotrochozoa,Mahkota tentakel-silia,Annelida,Cacing segmen,42,,,,,Clitellata,Cacing-segmen kerah,255.0,Hirudinea,Lintah,,,Arhynchobdellida,Lintah tanpa-belalai,1077.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,
3560,Hirudinidae,3560,Hirudinidae,FAMILY,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Lophotrochozoa,Mahkota tentakel-silia,Annelida,Cacing segmen,42,,,,,Clitellata,Cacing-segmen kerah,255.0,Hirudinea,Lintah,,,Arhynchobdellida,Lintah tanpa-belalai,1077.0,Hirudiniformes,,,,Hirudinidae,Lintah tanpa-belalai,3560.0,,,,,,,,,,,,,,,,,,,,,NE,
