taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,taxonRank,taxonomicStatus,domain,cnamedomain,superkingdom,cnamesuperkingdom,kingdom,cnameKingdom,kingdomKey,subkingdom,cnamesubkingdom,superphylum,cnamesuperphylum,phylum,cnamePhylum,phylumKey,subphylum,cnmaesubphylum,superclass,cnamesuperclass,class,cnameClass,classKey,subclass,cnamesubclass,superorder,cnamesuperorder,order,cnameOrder,orderKey,suborder,cnamesuborder,superfamily,cnamesuperfamily,family,cnameFamily,familyKey,subfamily,cnamesubfamily,supertribe,cnamesupertribe,tribe,cnametribe,subtribe,cnamesubtribe,genus,cnameGenus,genusKey,subgenus,cnamesubgenus,species,cnameSpecies,speciesKey,subspecies,cnmaesubspecies,variety,cnamevariety,iucnRedListCategory,statuskepunahan
2060528,"Leusaba marginalis Walker, 1857",2060528,"Leusaba marginalis Walker, 1857",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Hemiptera,Serangga sejati,809,,,,,Tropiduchidae,Wereng tropiducid,2232.0,,,,,,,,,Leusaba,Wereng tropiducid,2060527.0,,,Leusaba marginalis,Wereng tropiducid,2060528.0,,,,,NE,
2060611,"Catullia subtestacea Stål, 1870",2060611,"Catullia subtestacea Stål, 1870",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Hemiptera,Serangga sejati,809,,,,,Tropiduchidae,Wereng tropiducid,2232.0,,,,,,,,,Catullia,Wereng tropiducid,2060610.0,,,Catullia subtestacea,Wereng tropiducid,2060611.0,,,,,NE,
2060666,"Catullioides rubrolineata Bierman, 1910",2060666,"Catullioides rubrolineata Bierman, 1910",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Hemiptera,Serangga sejati,809,,,,,Tropiduchidae,Wereng tropiducid,2232.0,,,,,,,,,Catullioides,Wereng tropiducid,2060665.0,,,Catullioides rubrolineata,Wereng tropiducid,2060666.0,,,,,NE,
2060849,"Paricana dilatipennis Walker, 1857",2060849,"Paricana dilatipennis Walker, 1857",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Hemiptera,Serangga sejati,809,,,,,Tropiduchidae,Wereng tropiducid,2232.0,,,,,,,,,Paricana,Wereng tropiducid,2060848.0,,,Paricana dilatipennis,Wereng tropiducid,2060849.0,,,,,NE,
2060873,"Isporisella siporensis Baker, 1927",2060873,"Isporisella siporensis Baker, 1927",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Hemiptera,Serangga sejati,809,,,,,Tropiduchidae,Wereng tropiducid,2232.0,,,,,,,,,Isporisella,Wereng tropiducid,2060872.0,,,Isporisella siporensis,Wereng tropiducid,2060873.0,,,,,NE,
2061220,"Kallitaxila granulata (Stål, 1870)",2061220,"Kallitaxila granulata (Stål, 1870)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Hemiptera,Serangga sejati,809,,,,,Tropiduchidae,Wereng tropiducid,2232.0,,,,,,,,,Kallitaxila,Wereng tropiducid,2061196.0,,,Kallitaxila granulata,Wereng tropiducid,2061220.0,,,,,NE,
10070703,BOLD:ACN6147,10070703,BOLD:ACN6147,SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Hemiptera,Serangga sejati,809,,,,,Tropiduchidae,Wereng tropiducid,2232.0,,,,,,,,,Kallitaxila,Wereng tropiducid,2061196.0,,,Kallitaxila sinica,Wereng tropiducid,7631633.0,,,,,,
2232,Tropiduchidae,2232,Tropiduchidae,FAMILY,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Hemiptera,Serangga sejati,809,,,,,Tropiduchidae,Wereng tropiducid,2232.0,,,,,,,,,,,,,,,,,,,,,,
2052184,"Detya sublineata (Walker, 1870)",2052184,"Detya sublineata (Walker, 1870)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Hemiptera,Serangga sejati,809,,,,,Nogodinidae,Wereng nogodinid,2233.0,,,,,,,,,Detya,Wereng tropiducid,2052182.0,,,Detya sublineata,Wereng tropiducid,2052184.0,,,,,NE,
2052186,"Detya fusconebulosa Distant, 1906",2052186,"Detya fusconebulosa Distant, 1906",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Hemiptera,Serangga sejati,809,,,,,Nogodinidae,Wereng nogodinid,2233.0,,,,,,,,,Detya,Wereng nogodinid,2052182.0,,,Detya fusconebulosa,Wereng tropiducid,2052186.0,,,,,NE,
