taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,taxonRank,taxonomicStatus,domain,cnamedomain,superkingdom,cnamesuperkingdom,kingdom,cnameKingdom,kingdomKey,subkingdom,cnamesubkingdom,superphylum,cnamesuperphylum,phylum,cnamePhylum,phylumKey,subphylum,cnmaesubphylum,superclass,cnamesuperclass,class,cnameClass,classKey,subclass,cnamesubclass,superorder,cnamesuperorder,order,cnameOrder,orderKey,suborder,cnamesuborder,superfamily,cnamesuperfamily,family,cnameFamily,familyKey,subfamily,cnamesubfamily,supertribe,cnamesupertribe,tribe,cnametribe,subtribe,cnamesubtribe,genus,cnameGenus,genusKey,subgenus,cnamesubgenus,species,cnameSpecies,speciesKey,subspecies,cnmaesubspecies,variety,cnamevariety,iucnRedListCategory,statuskepunahan
2229460,"Australobius Chamberlin, 1920",2229460,"Australobius Chamberlin, 1920",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Chilopoda,Lipan,360,,,,,Lithobiomorpha,Lipan-batu,807.0,,,,,Lithobiidae,Lipan-batu,5540.0,,,,,,,,,Australobius,Lipan-batu,2229460.0,,,,,,,,,,NE,
9357423,"Lithobius Leach, 1814",9357423,"Lithobius Leach, 1814",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Chilopoda,Lipan,360,,,,,Lithobiomorpha,Lipan-batu,807.0,,,,,Lithobiidae,Lipan-batu,5540.0,,,,,,,,,Lithobius,Lipan-batu biasa,9357423.0,,,,,,,,,,,
2230907,"Paralamyctes Pocock, 1901",2230907,"Paralamyctes Pocock, 1901",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Chilopoda,Lipan,360,,,,,Lithobiomorpha,Lipan-batu,807.0,,,,,Henicopidae,Lipan-batu,6182.0,,,,,,,,,Paralamyctes,Lipan cokelat-kemerahan,2230907.0,,,,,,,,,,,
2230942,"Lamyctes Meinert, 1868",2230942,"Lamyctes Meinert, 1868",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Chilopoda,Lipan,360,,,,,Lithobiomorpha,Lipan-batu,807.0,,,,,Henicopidae,Lipan-batu,6182.0,,,,,,,,,Lamyctes,Lipan-batu,2230942.0,,,,,,,,,,,
2231015,"Henicops brevilabiatus Ribaut, 1923",2231015,"Henicops brevilabiatus Ribaut, 1923",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Chilopoda,Lipan,360,,,,,Lithobiomorpha,Lipan-batu,807.0,,,,,Henicopidae,Lipan-batu,6182.0,,,,,,,,,Henicops,Lipan-batu,2231006.0,,,Henicops brevilabiatus,Lipan-batu,2231015.0,,,,,NE,
6182,Henicopidae,6182,Henicopidae,FAMILY,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Chilopoda,Lipan,360,,,,,Lithobiomorpha,Lipan-batu,807.0,,,,,Henicopidae,Lipan-batu,6182.0,,,,,,,,,,,,,,,,,,,,,,
807,Lithobiomorpha,807,Lithobiomorpha,ORDER,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Chilopoda,Lipan,360,,,,,Lithobiomorpha,Lipan-batu,807.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,
5179027,"Scutigera coleoptrata Linnaeus, 1758",5179027,"Scutigera coleoptrata Linnaeus, 1758",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Chilopoda,Lipan,360,,,,,Scutigeromorpha,Lipan kaki-panjang,1025.0,,,,,Scutigeridae,Lipan rumah-biasa,8268.0,,,,,,,,,Scutigera,Lipan rumah-biasa,2231103.0,,,Scutigera coleoptrata,Lipan rumah-biasa,5179027.0,,,,,NE,
2231202,"Thereuopoda longicornis Fabricius, 1793",2231202,"Thereuopoda longicornis Fabricius, 1793",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Chilopoda,Lipan,360,,,,,Scutigeromorpha,Lipan kaki-panjang,1025.0,,,,,Scutigeridae,Lipan rumah-biasa,8268.0,,,,,,,,,Thereuopoda,Lipan rumah-biasa,2231195.0,,,Thereuopoda longicornis,Lipan kaki-panjang,2231202.0,,,,,NE,
1025,Scutigeromorpha,1025,Scutigeromorpha,ORDER,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Chilopoda,Lipan,360,,,,,Scutigeromorpha,Lipan kaki-panjang,1025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,
2234510,"Ballophilus Cook, 1896",2234510,"Ballophilus Cook, 1896",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Chilopoda,Lipan,360,,,,,Geophilomorpha,Lipan-tanah,1251.0,,,,,Ballophilidae,Lipan-tanah,4075.0,,,,,,,,,Ballophilus,Lipan-tanah,2234510.0,,,,,,,,,,,
