taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,taxonRank,taxonomicStatus,domain,cnamedomain,superkingdom,cnamesuperkingdom,kingdom,cnameKindom,kingdomKey,subkingdom,cnamesubkingdom,superphylum,cnamesuperphylum,phylum,cnamePhylum,phylumKey,subphylum,cnmaesubphylum,superclass,cnamesuperclass,class,cnameClass,classKey,subclass,cnamesubclass,superorder,cnamesuperorder,order,cnameOrder,orderKey,suborder,cnamesuborder,superfamily,cnamesuperfamily,family,cnameFamily,familyKey,subfamily,cnamesubfamily,supertribe,cnamesupertribe,tribe,cnametribe,subtribe,cnamesubtribe,genus,cnameGenus,genusKey,subgenus,cnamesubgenus,species,cnameSpecies,speciesKey,subspecies,cnmaesubspecies,variety,cnamevariety,iucnRedListCategory,statuskepunahan
2501194,"Ganesha elegans (Moser, 1903)",2501194,"Ganesha elegans (Moser, 1903)",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,,,,,Ctenophora,Ubur-ubur sisir,51,,,,,Tentaculata,Ubur-ubur sisir-tentakel,365,,,,,Ganeshida,,1427,,,,,Ganeshidae,,9178,,,,,,,,,Ganesha,,2501192,,,Ganesha elegans,,2501194.0,,,,,NE,
2501198,"Cestum veneris Lesueur, 1813",2501198,"Cestum veneris Lesueur, 1813",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,,,,,Ctenophora,Ubur-ubur sisir,51,,,,,Tentaculata,Ubur-ubur sisir-tentakel,365,,,,,Cestida,,1486,,,,,Cestidae,Sabuk venus,5696,,,,,,,,,Cestum,,2501197,,,Cestum veneris,Sabuk venus,2501198.0,,,,,NE,
2501284,"Coeloplana krusadiensis Devanesen & Varadarajan, 1942",2501284,"Coeloplana krusadiensis Devanesen & Varadarajan, 1942",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,,,,,Ctenophora,Ubur-ubur sisir,51,,,,,Tentaculata,Ubur-ubur sisir-tentakel,365,,,,,Platyctenida,Ubur-ubur sisir-bentik,1487,,,,,Coeloplanidae,,9596,,,,,,,,,Coeloplana,,2501279,,,Coeloplana krusadiensis,,2501284.0,,,,,NE,
2501288,"Coeloplana astericola Mortensen, 1927",2501288,"Coeloplana astericola Mortensen, 1927",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,,,,,Ctenophora,Ubur-ubur sisir,51,,,,,Tentaculata,Ubur-ubur sisir-tentakel,365,,,,,Platyctenida,Ubur-ubur sisir-bentik,1487,,,,,Coeloplanidae,,9596,,,,,,,,,Coeloplana,,2501279,,,Coeloplana astericola,Ubur-ubur sisir-merayap,2501288.0,,,,,NE,
2501293,"Coeloplana meteoris Thiel, 1968",2501293,"Coeloplana meteoris Thiel, 1968",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,,,,,Ctenophora,Ubur-ubur sisir,51,,,,,Tentaculata,Ubur-ubur sisir-tentakel,365,,,,,Platyctenida,Ubur-ubur sisir-bentik,1487,,,,,Coeloplanidae,,9596,,,,,,,,,Coeloplana,,2501279,,,Coeloplana meteoris,,2501293.0,,,,,NE,
2501299,"Coeloplana bannwarthii Krumbach, 1933",2501299,"Coeloplana bannwarthii Krumbach, 1933",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,,,,,Ctenophora,Ubur-ubur sisir,51,,,,,Tentaculata,Ubur-ubur sisir-tentakel,365,,,,,Platyctenida,Ubur-ubur sisir-bentik,1487,,,,,Coeloplanidae,,9596,,,,,,,,,Coeloplana,,2501279,,,Coeloplana bannwarthii,Ubur-ubur sisir-sesil,2501299.0,,,,,NE,
2501223,"Lobatolampea tetragona Horita, 2000",2501223,"Lobatolampea tetragona Horita, 2000",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,,,,,Ctenophora,Ubur-ubur sisir,51,,,,,Tentaculata,Ubur-ubur sisir-tentakel,365,,,,,Lobata,Ubur-ubur sisir-lobata,1488,,,,,Lobatolampeidae,,3602,,,,,,,,,Lobatolampea,,2501222,,,Lobatolampea tetragona,,2501223.0,,,,,NE,
2501211,"Eurhamphaea vexilligera Gegenbaur, 1856",2501211,"Eurhamphaea vexilligera Gegenbaur, 1856",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,,,,,Ctenophora,Ubur-ubur sisir,51,,,,,Tentaculata,Ubur-ubur sisir-tentakel,365,,,,,Lobata,Ubur-ubur sisir-lobata,1488,,,,,Eurhamphaeidae,,5125,,,,,,,,,Eurhamphaea,,2501210,,,Eurhamphaea vexilligera,,2501211.0,,,,,NE,
2501234,"Bolinopsis L.Agassiz, 1860",2501234,"Bolinopsis L.Agassiz, 1860",GENUS,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,,,,,Ctenophora,Ubur-ubur sisir,51,,,,,Tentaculata,Ubur-ubur sisir-tentakel,365,,,,,Lobata,Ubur-ubur sisir-lobata,1488,,,,,Bolinopsidae,,5660,,,,,,,,,Bolinopsis,,2501234,,,,,,,,,,,
2501220,"Ocyropsis maculata (Rang, 1827)",2501220,"Ocyropsis maculata (Rang, 1827)",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,,,,,Ctenophora,Ubur-ubur sisir,51,,,,,Tentaculata,Ubur-ubur sisir-tentakel,365,,,,,Lobata,Ubur-ubur sisir-lobata,1488,,,,,Ocyropsidae,,7395,,,,,,,,,Ocyropsis,Ubur-ubur sisir-sayap,2501217,,,Ocyropsis maculata,Ubur-ubur-sisir sayap-bintik,2501220.0,,,,,NE,
