taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,taxonRank,taxonomicStatus,domain,cnamedomain,superkingdom,cnamesuperkingdom,kingdom,cnameKingdom,kingdomKey,subkingdom,cnamesubkingdom,superphylum,cnamesuperphylum,phylum,cnamePhylum,phylumKey,subphylum,cnmaesubphylum,superclass,cnamesuperclass,class,cnameClass,classKey,subclass,cnamesubclass,superorder,cnamesuperorder,order,cnameOrder,orderKey,suborder,cnamesuborder,superfamily,cnamesuperfamily,family,cnameFamily,familyKey,subfamily,cnamesubfamily,supertribe,cnamesupertribe,tribe,cnametribe,subtribe,cnamesubtribe,genus,cnameGenus,genusKey,subgenus,cnamesubgenus,species,cnameSpecies,speciesKey,subspecies,cnmaesubspecies,variety,cnamevariety,iucnRedListCategory,statuskepunahan
1024157,"Rhynchoproctus proboscideus Pocock, 1894",1024157,"Rhynchoproctus proboscideus Pocock, 1894",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Diplopoda,Kaki-seribu,361,,,,,Spirostreptida,Kaki-seribu silinder,818.0,,,,,Harpagophoridae,Kaki-seribu punggung-plat,2946.0,,,,,,,,,Rhynchoproctus,Kaki-seribu punggung-plat,1024155.0,,,Rhynchoproctus proboscideus,Kaki-seribu punggung-plat,1024157.0,,,,,NE,
1024344,"Thyropygus siamensis Verhoeff, 1938",1024344,"Thyropygus siamensis Verhoeff, 1938",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Diplopoda,Kaki-seribu,361,,,,,Spirostreptida,Kaki-seribu silinder,818.0,,,,,Harpagophoridae,Kaki-seribu punggung-plat,2946.0,,,,,,,,,Thyropygus,Kaki-seribu punggung-plat,8931172.0,,,Thyropygus siamensis,Kaki-seribu punggung-plat,1024344.0,,,,,NE,
8931172,"Thyropygus Pocock, 1894",8931172,"Thyropygus Pocock, 1894",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Diplopoda,Kaki-seribu,361,,,,,Spirostreptida,Kaki-seribu silinder,818.0,,,,,Harpagophoridae,Kaki-seribu punggung-plat,2946.0,,,,,,,,,Thyropygus,Kaki-seribu punggung-plat,8931172.0,,,,,,,,,,,
2946,Harpagophoridae,2946,Harpagophoridae,FAMILY,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Diplopoda,Kaki-seribu,361,,,,,Spirostreptida,Kaki-seribu silinder,818.0,,,,,Harpagophoridae,Kaki-seribu punggung-plat,2946.0,,,,,,,,,,,,,,,,,,,,,NE,
7157,Spirostreptidae,7157,Spirostreptidae,FAMILY,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Diplopoda,Kaki-seribu,361,,,,,Spirostreptida,Kaki-seribu silinder,818.0,,,,,Spirostreptidae,Kaki-seribu punggung-datar,7157.0,,,,,,,,,,,,,,,,,,,,,NE,
1026337,"Plusioglyphiulus grandicollis Hoffman, 1977",1026337,"Plusioglyphiulus grandicollis Hoffman, 1977",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Diplopoda,Kaki-seribu,361,,,,,Spirostreptida,Kaki-seribu silinder,818.0,,,,,Cambalopsidae,Kaki-seribu silinder,9531.0,,,,,,,,,Plusioglyphiulus,Kaki-seribu silinder,1026333.0,,,Plusioglyphiulus grandicollis,Kaki-seribu silinder,1026337.0,,,,,NE,
818,Spirostreptida,818,Spirostreptida,ORDER,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Diplopoda,Kaki-seribu,361,,,,,Spirostreptida,Kaki-seribu silinder,818.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,
8547197,"Pyrgeuma pyrgodesmoides Shear, 2012",8547197,"Pyrgeuma pyrgodesmoides Shear, 2012",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Diplopoda,Kaki-seribu,361,,,,,Chordeumatida,Kaki-seribu sosis,1017.0,,,,,Heterochordeumatidae,Kaki-seribu sosis,3017.0,,,,,,,,,Pyrgeuma,Kaki-seribu sosis,8522734.0,,,Pyrgeuma pyrgodesmoides,Kaki-seribu sosis,8547197.0,,,,,NE,
1022929,"Metopidiothrix sedgwicki Shear, 2002",1022929,"Metopidiothrix sedgwicki Shear, 2002",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Diplopoda,Kaki-seribu,361,,,,,Chordeumatida,Kaki-seribu sosis,1017.0,,,,,Metopidiotrichidae,Kaki-seribu sosis,8557.0,,,,,,,,,Metopidiothrix,Kaki-seribu sosis,1022899.0,,,Metopidiothrix sedgwicki,Kaki-seribu sosis,1022929.0,,,,,NE,
1028165,"Glomeris connexa C.L.Koch, 1847",1028165,"Glomeris connexa C.L.Koch, 1847",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Diplopoda,Kaki-seribu,361,,,,,Glomerida,Kaki-seribu bola,1018.0,,,,,Glomeridae,Kaki-seribu bola,4008.0,,,,,,,,,Glomeris,Kaki-seribu bola,1021715.0,,,Glomeris connexa,,1028165.0,,,,,NE,
